index,timestamp,message,cam_wind_direction
1,2025-06-13T15:43:34.276292,S,N
2,2025-06-13T15:43:38.315472,S,N
3,2025-06-13T15:43:42.284070,E,E
4,2025-06-13T15:43:46.150271,E,E
5,2025-06-13T15:43:58.151528,W,N
6,2025-06-13T15:44:02.104925,W,N
7,2025-06-13T15:44:06.012231,W,E
8,2025-06-13T15:44:09.917295,S,S
9,2025-06-13T15:44:13.834999,S,S
10,2025-06-13T15:44:17.763610,S,S
11,2025-06-13T15:44:21.799724,W,N
12,2025-06-13T15:44:25.792337,W,E
13,2025-06-13T15:44:29.816286,W,E
14,2025-06-13T15:44:33.759126,W,N
15,2025-06-13T15:44:37.752847,W,N
16,2025-06-13T15:44:41.626003,W,N
17,2025-06-13T15:44:45.622093,W,N
18,2025-06-13T15:44:49.546332,W,E
19,2025-06-13T15:44:53.445935,S,S
20,2025-06-13T15:44:57.370589,W,E
21,2025-06-13T15:45:01.391175,W,N
22,2025-06-13T15:45:05.423670,W,E
23,2025-06-13T15:45:09.415980,W,W
24,2025-06-13T15:45:13.345111,W,E
25,2025-06-13T15:45:17.317882,S,S
26,2025-06-13T15:45:21.288812,W,W
27,2025-06-13T15:45:25.253701,N,N
28,2025-06-13T15:45:29.181109,N,N
29,2025-06-13T15:45:33.143302,S,S
30,2025-06-13T15:45:37.058291,N,N
31,2025-06-13T15:45:41.069396,W,E
32,2025-06-13T15:45:45.024635,E,E
33,2025-06-13T15:45:49.260360,N,N
34,2025-06-13T15:45:53.102307,N,N
35,2025-06-13T15:45:57.255282,N,N
36,2025-06-13T15:46:01.079639,N,N
37,2025-06-13T15:46:05.360794,N,N
38,2025-06-13T15:46:09.269134,N,N
39,2025-06-13T15:46:13.355784,E,E
40,2025-06-13T15:46:17.182987,E,E
41,2025-06-13T15:46:21.435286,E,E
42,2025-06-13T15:46:25.698265,N,N
43,2025-06-13T15:46:29.510191,E,E
44,2025-06-13T15:46:33.329681,S,S
45,2025-06-13T15:46:37.284560,S,S
46,2025-06-13T15:46:41.048624,S,S
47,2025-06-13T15:46:44.821206,W,W
48,2025-06-13T15:46:49.000570,S,S
49,2025-06-13T15:46:52.838093,N,N
50,2025-06-13T15:46:56.815897,N,N
51,2025-06-13T15:47:00.764720,E,E
52,2025-06-13T15:47:04.641590,S,S
53,2025-06-13T15:47:08.473152,S,S
54,2025-06-13T15:47:12.442501,W,W
55,2025-06-13T15:47:16.375061,S,S
56,2025-06-13T15:47:20.361317,W,W
57,2025-06-13T15:47:24.260562,W,W
58,2025-06-13T15:47:28.136973,W,W
59,2025-06-13T15:47:32.053752,E,E
60,2025-06-13T15:47:35.978617,N,N
61,2025-06-13T15:47:39.885886,E,E
62,2025-06-13T15:47:43.883401,N,N
63,2025-06-13T15:47:47.865975,S,S
64,2025-06-13T15:47:51.901974,E,E
65,2025-06-13T15:47:55.872271,E,E
66,2025-06-13T15:47:59.878368,N,N
67,2025-06-13T15:48:03.821215,E,E
68,2025-06-13T15:48:07.680683,S,S
69,2025-06-13T15:48:11.606218,E,E
70,2025-06-13T15:48:15.530153,E,E
71,2025-06-13T15:48:19.496725,W,W
72,2025-06-13T15:48:23.453799,S,S
73,2025-06-13T15:48:27.327460,W,W
74,2025-06-13T15:48:31.102196,E,E
75,2025-06-13T15:48:35.372130,E,E
76,2025-06-13T15:48:39.538119,S,S
77,2025-06-13T15:48:43.389788,S,S
78,2025-06-13T15:48:47.405822,S,S
79,2025-06-13T15:48:51.329680,W,W
80,2025-06-13T15:48:55.049186,E,E
81,2025-06-13T15:48:59.064662,W,W
82,2025-06-13T15:49:02.869768,N,N
83,2025-06-13T15:49:06.655676,N,N
84,2025-06-13T15:49:10.723703,W,W
85,2025-06-13T15:49:14.744843,N,N
86,2025-06-13T15:49:18.440468,E,E
87,2025-06-13T15:49:22.248559,W,W
88,2025-06-13T15:49:26.165191,W,W
89,2025-06-13T15:49:30.253978,W,W
90,2025-06-13T15:49:34.080650,N,N
91,2025-06-13T15:49:37.839579,N,N
92,2025-06-13T15:49:42.061544,E,E
93,2025-06-13T15:49:46.196447,N,N
94,2025-06-13T15:49:49.957154,E,E
95,2025-06-13T15:49:53.778053,N,N
96,2025-06-13T15:49:57.883340,N,N
97,2025-06-13T15:50:02.017165,W,W
98,2025-06-13T15:50:06.235373,N,N
99,2025-06-13T15:50:09.990298,N,N
100,2025-06-13T15:50:13.789924,W,W
101,2025-06-13T15:50:17.621727,N,N
102,2025-06-13T15:50:21.701832,N,N
103,2025-06-13T15:50:25.426865,N,N
104,2025-06-13T15:50:29.128361,N,N
105,2025-06-13T15:50:32.868620,W,W
106,2025-06-13T15:50:36.587982,N,N
107,2025-06-13T15:50:40.313193,E,E
108,2025-06-13T15:50:44.021192,N,N
109,2025-06-13T15:50:47.753174,N,N
110,2025-06-13T15:50:51.585215,E,E
111,2025-06-13T15:50:55.342941,E,E
112,2025-06-13T15:50:59.094779,S,S
113,2025-06-13T15:51:02.844307,W,W
114,2025-06-13T15:51:06.723701,W,W
115,2025-06-13T15:51:10.465383,N,N
116,2025-06-13T15:51:14.205905,E,E
117,2025-06-13T15:51:17.957349,E,E
118,2025-06-13T15:51:21.679357,S,S
119,2025-06-13T15:51:25.388953,S,S
120,2025-06-13T15:51:29.135042,S,S
121,2025-06-13T15:51:32.875011,N,N
122,2025-06-13T15:51:36.546695,E,E
123,2025-06-13T15:51:40.235040,E,E
124,2025-06-13T15:51:43.905098,E,E
125,2025-06-13T15:51:47.938977,S,S
126,2025-06-13T15:51:51.944661,E,E
127,2025-06-13T15:51:55.849428,E,E
128,2025-06-13T15:51:59.626564,S,S
129,2025-06-13T15:52:03.413421,W,W
130,2025-06-13T15:52:07.186972,N,N
131,2025-06-13T15:52:11.244476,E,E
132,2025-06-13T15:52:15.100929,W,W
133,2025-06-13T15:52:18.815731,E,E
134,2025-06-13T15:52:22.813315,W,W
135,2025-06-13T15:52:26.616095,N,N
136,2025-06-13T15:52:30.376832,E,E
137,2025-06-13T15:52:34.121201,W,W
138,2025-06-13T15:52:38.208166,W,W
139,2025-06-13T15:52:41.987385,W,W
140,2025-06-13T15:52:45.754568,N,N
141,2025-06-13T15:52:49.544519,N,N
142,2025-06-13T15:52:53.227430,E,E
143,2025-06-13T15:52:56.968899,W,W
144,2025-06-13T15:53:00.707037,N,N
145,2025-06-13T15:53:04.385264,N,N
146,2025-06-13T15:53:08.259320,N,N
147,2025-06-13T15:53:12.069984,S,S
148,2025-06-13T15:53:16.244968,W,W
149,2025-06-13T15:53:20.024819,E,E
150,2025-06-13T15:53:23.708262,E,E
151,2025-06-13T15:53:27.435982,E,E
152,2025-06-13T15:53:31.169847,E,E
153,2025-06-13T15:53:35.163370,N,N
154,2025-06-13T15:53:39.151139,S,S
155,2025-06-13T15:53:43.175363,S,S
156,2025-06-13T15:53:46.913245,S,S
157,2025-06-13T15:53:50.938169,W,W
158,2025-06-13T15:53:54.666641,N,N
159,2025-06-13T15:53:58.645292,W,W
160,2025-06-13T15:54:02.731297,N,N
161,2025-06-13T15:54:06.496735,S,S
162,2025-06-13T15:54:10.242168,S,S
163,2025-06-13T15:54:14.380376,S,S
164,2025-06-13T15:54:18.391449,S,S
165,2025-06-13T15:54:22.115771,S,S
166,2025-06-13T15:54:26.152361,S,S
167,2025-06-13T15:54:30.270427,W,W
168,2025-06-13T15:54:34.277586,W,W
169,2025-06-13T15:54:38.413423,W,W
170,2025-06-13T15:54:42.094886,E,E
171,2025-06-13T15:54:46.226661,E,E
172,2025-06-13T15:54:49.972796,E,E
173,2025-06-13T15:54:53.680195,E,E
174,2025-06-13T15:54:57.706584,N,N
175,2025-06-13T15:55:01.722126,E,E
176,2025-06-13T15:55:05.471063,E,E
177,2025-06-13T15:55:09.429857,N,N
178,2025-06-13T15:55:13.238054,W,W
179,2025-06-13T15:55:17.285604,E,E
180,2025-06-13T15:55:21.193339,E,E
181,2025-06-13T15:55:25.201756,E,E
182,2025-06-13T15:55:28.996457,E,E
183,2025-06-13T15:55:32.693742,E,E
184,2025-06-13T15:55:36.785190,N,N
185,2025-06-13T15:55:40.706256,W,W
186,2025-06-13T15:55:44.492316,W,W
187,2025-06-13T15:55:48.367999,N,N
188,2025-06-13T15:55:52.300232,W,W
189,2025-06-13T15:55:56.076856,W,W
190,2025-06-13T15:56:00.108637,W,W
191,2025-06-13T15:56:03.873302,S,S
192,2025-06-13T15:56:07.695375,W,W
193,2025-06-13T15:56:11.461456,W,W
194,2025-06-13T15:56:15.295591,W,W
195,2025-06-13T15:56:19.333825,N,N
196,2025-06-13T15:56:23.409961,N,N
197,2025-06-13T15:56:27.446252,W,W
198,2025-06-13T15:56:31.488381,E,E
199,2025-06-13T15:56:35.270132,E,E
200,2025-06-13T15:56:39.149792,E,E
201,2025-06-13T15:56:43.122048,E,E
202,2025-06-13T15:56:46.909269,E,E
203,2025-06-13T15:56:50.775338,E,E
204,2025-06-13T15:56:54.679086,S,S
205,2025-06-13T15:56:58.686333,E,E
206,2025-06-13T15:57:02.504790,S,S
207,2025-06-13T15:57:06.318516,S,S
208,2025-06-13T15:57:10.453030,S,S
209,2025-06-13T15:57:14.444107,W,W
210,2025-06-13T15:57:18.491853,S,S
211,2025-06-13T15:57:22.325428,W,W
212,2025-06-13T15:57:26.351104,W,W
213,2025-06-13T15:57:30.245186,W,W
214,2025-06-13T15:57:34.407334,W,W
215,2025-06-13T15:57:38.574588,W,W
216,2025-06-13T15:57:42.345711,N,N
217,2025-06-13T15:57:46.626347,W,W
218,2025-06-13T15:57:50.635128,W,W
219,2025-06-13T15:57:54.497419,N,N
220,2025-06-13T15:57:58.287157,N,N
221,2025-06-13T15:58:02.100727,N,N
222,2025-06-13T15:58:05.893840,W,W
223,2025-06-13T15:58:13.610745,N,N
224,2025-06-13T15:58:17.358872,W,W
