index,timestamp,message,cam_wind_direction
0,2025-06-11T08:17:03.302903,S,N
1,2025-06-11T08:17:12.483815,N,N
2,2025-06-11T08:17:16.423541,W,W
3,2025-06-11T08:17:24.511794,W,N
4,2025-06-11T08:17:40.395021,W,E
5,2025-06-11T08:18:00.303216,W,W
6,2025-06-11T08:18:23.877966,W,N
7,2025-06-11T08:18:47.889860,W,W
8,2025-06-11T08:19:07.737358,W,W
9,2025-06-11T08:19:27.589269,W,E
10,2025-06-11T08:19:55.480818,W,N
11,2025-06-11T08:20:23.562365,N,N
12,2025-06-11T08:20:51.261992,N,W
13,2025-06-11T08:21:18.979633,N,W
14,2025-06-11T08:21:50.788704,N,N
15,2025-06-11T08:22:22.308438,N,N
16,2025-06-11T08:22:54.052015,S,S
17,2025-06-11T08:23:21.878313,N,N
18,2025-06-11T08:23:53.998984,N,N
19,2025-06-11T08:24:25.332649,N,W
20,2025-06-11T08:24:56.435890,N,W
21,2025-06-11T08:25:32.528950,N,N
22,2025-06-11T08:26:03.754965,N,W
23,2025-06-11T08:26:38.467890,N,W
24,2025-06-11T08:27:14.441563,E,E
