index,timestamp,message,cam_wind_direction
1,2025-06-13T15:43:32.694106,W,N
2,2025-06-13T15:43:36.595015,S,N
3,2025-06-13T15:43:40.749193,S,N
4,2025-06-13T15:43:44.939843,S,N
5,2025-06-13T15:43:49.195344,N,N
6,2025-06-13T15:43:53.114764,W,W
7,2025-06-13T15:43:57.328732,N,N
8,2025-06-13T15:44:01.299693,W,W
9,2025-06-13T15:44:05.056251,E,E
10,2025-06-13T15:44:09.064263,E,E
11,2025-06-13T15:44:12.941363,E,E
12,2025-06-13T15:44:16.957644,S,S
13,2025-06-13T15:44:21.079540,N,N
14,2025-06-13T15:44:25.077512,S,S
15,2025-06-13T15:44:28.800656,S,S
16,2025-06-13T15:44:32.732782,W,W
17,2025-06-13T15:44:36.791383,N,N
18,2025-06-13T15:44:40.748819,N,N
19,2025-06-13T15:44:44.763314,S,S
20,2025-06-13T15:44:48.821916,N,N
21,2025-06-13T15:44:52.801106,N,N
22,2025-06-13T15:44:56.620214,N,N
23,2025-06-13T15:45:00.396181,N,N
24,2025-06-13T15:45:04.458308,N,N
25,2025-06-13T15:45:08.246285,W,W
26,2025-06-13T15:45:12.301932,S,S
27,2025-06-13T15:45:16.104573,N,N
28,2025-06-13T15:45:19.895978,N,N
29,2025-06-13T15:45:23.725876,S,S
30,2025-06-13T15:45:27.807261,S,S
31,2025-06-13T15:45:31.886987,W,W
32,2025-06-13T15:45:35.902186,E,E
33,2025-06-13T15:45:39.705353,E,E
34,2025-06-13T15:45:43.787143,S,S
35,2025-06-13T15:45:47.841140,N,N
36,2025-06-13T15:45:51.660638,N,N
37,2025-06-13T15:45:55.422067,N,N
38,2025-06-13T15:45:59.297771,N,N
39,2025-06-13T15:46:03.098741,W,W
40,2025-06-13T15:46:06.895882,N,N
41,2025-06-13T15:46:10.894451,N,N
42,2025-06-13T15:46:14.657297,N,N
43,2025-06-13T15:46:18.762836,N,N
44,2025-06-13T15:46:22.566898,E,E
45,2025-06-13T15:46:26.305861,W,W
46,2025-06-13T15:46:30.389702,E,E
47,2025-06-13T15:46:34.160983,E,E
48,2025-06-13T15:46:37.929024,E,E
49,2025-06-13T15:46:41.678925,E,E
50,2025-06-13T15:46:45.499083,N,N
51,2025-06-13T15:46:49.244952,N,N
52,2025-06-13T15:46:53.029300,S,S
53,2025-06-13T15:46:56.822270,S,S
54,2025-06-13T15:47:00.625607,N,N
55,2025-06-13T15:47:04.808608,N,N
56,2025-06-13T15:47:08.957104,N,N
57,2025-06-13T15:47:12.760317,N,N
58,2025-06-13T15:47:16.795548,S,S
59,2025-06-13T15:47:20.889855,N,N
60,2025-06-13T15:47:24.660657,N,N
61,2025-06-13T15:47:28.467850,N,N
62,2025-06-13T15:47:32.331526,S,S
63,2025-06-13T15:47:36.404942,S,S
64,2025-06-13T15:47:40.473722,W,W
65,2025-06-13T15:47:44.484685,S,S
66,2025-06-13T15:47:48.301203,N,N
67,2025-06-13T15:47:52.374111,N,N
68,2025-06-13T15:47:56.124933,N,N
69,2025-06-13T15:47:59.872659,S,S
70,2025-06-13T15:48:03.740057,S,S
71,2025-06-13T15:48:07.765638,E,E
72,2025-06-13T15:48:11.518894,S,S
73,2025-06-13T15:48:15.731326,W,W
74,2025-06-13T15:48:19.843433,W,W
75,2025-06-13T15:48:23.913054,W,W
76,2025-06-13T15:48:27.764486,W,W
77,2025-06-13T15:48:31.768263,N,N
78,2025-06-13T15:48:35.838232,W,W
79,2025-06-13T15:48:39.845192,N,N
80,2025-06-13T15:48:43.955989,N,N
81,2025-06-13T15:48:47.825820,N,N
82,2025-06-13T15:48:51.913036,N,N
83,2025-06-13T15:48:56.007081,E,E
84,2025-06-13T15:48:59.877657,N,N
85,2025-06-13T15:49:03.721942,N,N
86,2025-06-13T15:49:07.741723,N,N
87,2025-06-13T15:49:11.896838,N,N
88,2025-06-13T15:49:15.740598,N,N
89,2025-06-13T15:49:19.839515,N,N
90,2025-06-13T15:49:23.567616,N,N
91,2025-06-13T15:49:27.583093,N,N
92,2025-06-13T15:49:31.596239,N,N
93,2025-06-13T15:49:35.358199,N,N
94,2025-06-13T15:49:39.441266,N,N
95,2025-06-13T15:49:43.276066,N,N
96,2025-06-13T15:49:47.317922,E,E
97,2025-06-13T15:49:51.372658,S,S
98,2025-06-13T15:49:55.167869,W,W
99,2025-06-13T15:49:59.166957,N,N
100,2025-06-13T15:50:03.159198,N,N
101,2025-06-13T15:50:07.000752,W,W
102,2025-06-13T15:50:10.819997,W,W
103,2025-06-13T15:50:14.581165,N,N
104,2025-06-13T15:50:18.313969,N,N
105,2025-06-13T15:50:22.230192,N,N
106,2025-06-13T15:50:25.980678,E,E
107,2025-06-13T15:50:30.023579,E,E
108,2025-06-13T15:50:34.144284,E,E
109,2025-06-13T15:50:37.974325,S,S
110,2025-06-13T15:50:41.729310,E,E
111,2025-06-13T15:50:45.775350,N,N
112,2025-06-13T15:50:49.774835,N,N
113,2025-06-13T15:50:53.850672,N,N
114,2025-06-13T15:50:57.743862,N,N
115,2025-06-13T15:51:01.593384,S,S
116,2025-06-13T15:51:05.405105,N,N
117,2025-06-13T15:51:09.233205,N,N
118,2025-06-13T15:51:13.022147,N,N
119,2025-06-13T15:51:16.866747,N,N
120,2025-06-13T15:51:20.919295,E,E
121,2025-06-13T15:51:25.008556,S,S
122,2025-06-13T15:51:28.909037,E,E
123,2025-06-13T15:51:32.914149,E,E
124,2025-06-13T15:51:36.791034,S,S
125,2025-06-13T15:51:40.864454,S,S
126,2025-06-13T15:51:44.879750,S,S
127,2025-06-13T15:51:48.658714,S,S
128,2025-06-13T15:51:52.719201,E,E
129,2025-06-13T15:51:56.803749,N,N
130,2025-06-13T15:52:00.781465,W,W
131,2025-06-13T15:52:04.792973,N,N
132,2025-06-13T15:52:08.799702,N,N
133,2025-06-13T15:52:12.863130,N,N
134,2025-06-13T15:52:16.958331,E,E
135,2025-06-13T15:52:20.996328,N,W
136,2025-06-13T15:52:25.008642,N,N
137,2025-06-13T15:52:29.083596,W,W
138,2025-06-13T15:52:33.062126,N,N
139,2025-06-13T15:52:37.199118,N,N
140,2025-06-13T15:52:41.317853,S,S
141,2025-06-13T15:52:45.416514,E,E
142,2025-06-13T15:52:49.467155,E,E
143,2025-06-13T15:52:53.468222,E,E
144,2025-06-13T15:52:57.571887,E,E
145,2025-06-13T15:53:01.568158,E,E
146,2025-06-13T15:53:05.500206,E,E
147,2025-06-13T15:53:09.218748,W,W
148,2025-06-13T15:53:13.192422,N,N
149,2025-06-13T15:53:17.233679,N,N
150,2025-06-13T15:53:21.293637,N,N
151,2025-06-13T15:53:25.140763,E,E
