index,timestamp,message,cam_wind_direction
1,2025-06-13T15:43:43.716266,E,N
2,2025-06-13T15:43:47.873449,E,N
3,2025-06-13T15:43:52.445138,E,S
4,2025-06-13T15:43:56.479719,E,N
5,2025-06-13T15:44:00.937377,E,N
6,2025-06-13T15:44:05.607943,E,E
7,2025-06-13T15:44:09.742777,N,N
8,2025-06-13T15:44:14.006961,E,E
9,2025-06-13T15:44:17.835381,E,E
10,2025-06-13T15:44:21.954265,S,S
11,2025-06-13T15:44:26.063085,W,W
12,2025-06-13T15:44:30.339813,S,S
13,2025-06-13T15:44:34.517006,S,S
14,2025-06-13T15:44:38.771392,E,E
15,2025-06-13T15:44:42.965615,E,E
16,2025-06-13T15:44:47.268083,E,W
17,2025-06-13T15:44:51.234201,W,W
18,2025-06-13T15:44:55.289515,E,E
