index,timestamp,message,cam_wind_direction
1,2025-06-13T15:43:18.327514,S,W
2,2025-06-13T15:43:22.709783,W,W
3,2025-06-13T15:43:27.007174,W,W
4,2025-06-13T15:43:31.442166,W,W
5,2025-06-13T15:43:35.808504,N,N
6,2025-06-13T15:43:39.830626,E,E
7,2025-06-13T15:43:43.807575,W,W
8,2025-06-13T15:43:47.963586,W,S
9,2025-06-13T15:43:52.239250,W,S
10,2025-06-13T15:43:56.133767,E,E
11,2025-06-13T15:44:00.065435,W,S
12,2025-06-13T15:44:04.682037,W,N
13,2025-06-13T15:44:08.564496,W,W
14,2025-06-13T15:44:12.404275,W,N
15,2025-06-13T15:44:16.260265,W,E
16,2025-06-13T15:44:20.401386,S,S
17,2025-06-13T15:44:24.418949,W,N
18,2025-06-13T15:44:28.522364,S,S
19,2025-06-13T15:44:32.646224,W,N
20,2025-06-13T15:44:36.514008,W,N
21,2025-06-13T15:44:40.758168,W,S
22,2025-06-13T15:44:44.659669,W,W
23,2025-06-13T15:44:48.578934,W,W
24,2025-06-13T15:44:52.431540,N,N
25,2025-06-13T15:44:56.298563,S,S
26,2025-06-13T15:45:00.238696,S,S
27,2025-06-13T15:45:04.137380,S,S
28,2025-06-13T15:45:08.051874,S,S
29,2025-06-13T15:45:11.947169,S,S
30,2025-06-13T15:45:16.061933,S,S
31,2025-06-13T15:45:19.920544,S,S
32,2025-06-13T15:45:23.792426,S,S
33,2025-06-13T15:45:27.648049,S,S
34,2025-06-13T15:45:31.542834,W,W
35,2025-06-13T15:45:35.455960,W,W
36,2025-06-13T15:45:39.334379,W,W
37,2025-06-13T15:45:43.237740,S,S
38,2025-06-13T15:47:51.273863,N,N
39,2025-06-13T15:47:55.139227,N,N
40,2025-06-13T15:47:59.333960,E,E
41,2025-06-13T15:48:03.196030,E,E
42,2025-06-13T15:48:07.004948,S,S
43,2025-06-13T15:48:10.850357,S,S
44,2025-06-13T15:48:14.747554,W,W
45,2025-06-13T15:48:18.563525,N,N
46,2025-06-13T15:48:22.800460,N,N
47,2025-06-13T15:48:26.659037,W,E
48,2025-06-13T15:48:30.494556,N,N
49,2025-06-13T15:48:34.331012,N,N
50,2025-06-13T15:48:38.230811,E,E
51,2025-06-13T15:48:42.115807,E,E
52,2025-06-13T15:48:45.985154,S,S
53,2025-06-13T15:48:49.779842,S,S
54,2025-06-13T15:48:53.673591,W,W
55,2025-06-13T15:48:57.542562,W,W
56,2025-06-13T15:49:01.360896,W,S
57,2025-06-13T15:49:05.222674,W,E
58,2025-06-13T15:49:09.106884,W,W
59,2025-06-13T15:49:13.335681,W,S
60,2025-06-13T15:49:17.228191,W,S
61,2025-06-13T15:49:21.018486,E,E
62,2025-06-13T15:49:24.933413,N,N
63,2025-06-13T15:49:28.746963,W,W
64,2025-06-13T15:49:32.991209,W,S
65,2025-06-13T15:49:36.882380,N,N
66,2025-06-13T15:49:40.792255,W,W
67,2025-06-13T15:49:44.630700,S,S
68,2025-06-13T15:50:39.083870,N,N
69,2025-06-13T15:50:42.948938,N,N
70,2025-06-13T15:50:46.929651,E,E
71,2025-06-13T15:50:50.757849,E,E
72,2025-06-13T15:50:54.627840,N,N
73,2025-06-13T15:50:58.791496,N,N
74,2025-06-13T15:51:02.719612,W,W
75,2025-06-13T15:51:06.599468,W,W
76,2025-06-13T15:51:10.470082,E,E
77,2025-06-13T15:51:14.329171,E,E
78,2025-06-13T15:51:18.199041,N,N
79,2025-06-13T15:51:22.091291,N,N
80,2025-06-13T15:51:25.972958,N,N
81,2025-06-13T15:51:29.808991,W,W
82,2025-06-13T15:51:33.612481,W,W
83,2025-06-13T15:51:37.537061,S,S
84,2025-06-13T15:51:41.390015,E,E
85,2025-06-13T15:51:45.243997,N,N
86,2025-06-13T15:51:49.036715,W,W
87,2025-06-13T15:51:52.911301,W,W
88,2025-06-13T15:51:56.887203,W,W
89,2025-06-13T15:52:00.993697,E,E
90,2025-06-13T15:52:04.857588,E,E
91,2025-06-13T15:52:08.705708,E,E
92,2025-06-13T15:52:12.583950,N,N
93,2025-06-13T15:52:16.513579,W,W
94,2025-06-13T15:52:20.369403,W,W
95,2025-06-13T15:52:24.182352,E,E
96,2025-06-13T15:52:28.089635,W,W
97,2025-06-13T15:52:31.976149,W,W
98,2025-06-13T15:52:35.867233,W,W
99,2025-06-13T15:52:39.715499,W,W
100,2025-06-13T15:52:43.559171,E,E
101,2025-06-13T15:52:47.399164,W,W
102,2025-06-13T15:52:51.297933,N,N
103,2025-06-13T15:52:55.124152,E,E
104,2025-06-13T15:52:58.977403,N,N
105,2025-06-13T15:53:02.849019,W,W
106,2025-06-13T15:53:07.027391,W,W
107,2025-06-13T15:53:10.913216,W,W
108,2025-06-13T15:53:14.836402,E,E
109,2025-06-13T15:53:18.662766,W,W
110,2025-06-13T15:53:22.556860,W,W
111,2025-06-13T15:54:20.363533,W,W
112,2025-06-13T15:54:24.185783,W,W
113,2025-06-13T15:54:28.050120,W,W
114,2025-06-13T15:54:31.916531,W,W
115,2025-06-13T15:54:35.836287,W,W
116,2025-06-13T15:54:40.048385,W,W
117,2025-06-13T15:54:43.932076,E,E
118,2025-06-13T15:54:47.811843,W,W
119,2025-06-13T15:54:51.644495,W,W
120,2025-06-13T15:54:55.518675,W,W
121,2025-06-13T15:54:59.422146,N,N
122,2025-06-13T15:55:03.341102,N,N
123,2025-06-13T15:55:07.155452,N,N
124,2025-06-13T15:55:11.039552,W,W
125,2025-06-13T15:55:14.912684,W,W
126,2025-06-13T15:55:18.742936,W,W
127,2025-06-13T15:56:16.698107,W,W
128,2025-06-13T15:56:20.517870,S,S
129,2025-06-13T15:56:24.327908,S,S
130,2025-06-13T15:56:28.244279,E,E
131,2025-06-13T15:56:32.052752,N,N
132,2025-06-13T15:56:35.866123,W,W
133,2025-06-13T15:56:39.699791,W,W
134,2025-06-13T15:56:43.601221,N,N
135,2025-06-13T15:56:47.453200,N,N
136,2025-06-13T15:56:51.297629,W,W
137,2025-06-13T15:56:55.158297,S,S
138,2025-06-13T15:56:58.955082,S,S
139,2025-06-13T15:57:02.838509,E,E
140,2025-06-13T15:57:06.688087,S,S
141,2025-06-13T15:57:10.495174,S,S
142,2025-06-13T15:57:14.353075,E,E
143,2025-06-13T15:57:18.242696,W,W
144,2025-06-13T15:57:22.109314,S,S
145,2025-06-13T15:57:25.998544,E,E
146,2025-06-13T15:57:29.820135,S,S
147,2025-06-13T15:57:33.648924,S,S
148,2025-06-13T15:57:37.500086,S,S
149,2025-06-13T15:57:41.658776,E,E
150,2025-06-13T15:57:45.494108,E,E
151,2025-06-13T15:57:49.405576,N,N
152,2025-06-13T15:57:53.371198,E,E
153,2025-06-13T15:57:57.289383,E,E
154,2025-06-13T15:58:01.266573,E,E
155,2025-06-13T15:58:05.136967,E,E
156,2025-06-13T15:58:08.994910,N,N
