index,timestamp,message,cam_wind_direction
1,2025-06-13T15:48:30.376174,S,S
2,2025-06-13T15:48:35.294396,S,W
3,2025-06-13T15:48:40.442020,S,W
4,2025-06-13T15:48:45.293579,S,W
5,2025-06-13T15:48:50.224469,S,W
6,2025-06-13T15:48:55.258637,S,N
7,2025-06-13T15:49:00.277378,S,N
8,2025-06-13T15:49:05.282878,S,W
9,2025-06-13T15:49:10.287584,S,N
10,2025-06-13T15:49:15.456176,S,N
11,2025-06-13T15:49:20.286866,S,N
12,2025-06-13T15:49:25.203791,S,N
13,2025-06-13T15:49:30.579755,S,S
14,2025-06-13T15:49:35.316641,S,W
15,2025-06-13T15:49:40.372826,S,S
16,2025-06-13T15:49:45.280107,S,S
17,2025-06-13T15:49:50.253790,S,N
18,2025-06-13T15:49:55.282399,W,W
19,2025-06-13T15:50:00.301611,W,W
20,2025-06-13T15:50:05.280465,W,W
21,2025-06-13T15:50:10.235943,W,W
22,2025-06-13T15:50:15.240039,W,W
23,2025-06-13T15:50:20.287217,S,S
24,2025-06-13T15:50:25.313327,W,W
25,2025-06-13T15:50:30.257011,W,W
26,2025-06-13T15:50:35.347223,S,N
27,2025-06-13T15:50:40.256667,S,N
28,2025-06-13T15:50:45.558148,S,N
29,2025-06-13T15:50:50.312095,S,E
30,2025-06-13T15:50:55.212961,S,N
31,2025-06-13T15:51:00.276080,S,N
32,2025-06-13T15:51:05.199076,S,E
33,2025-06-13T15:51:10.260759,S,E
34,2025-06-13T15:51:15.273409,S,E
35,2025-06-13T15:51:20.659011,S,S
36,2025-06-13T15:51:25.236801,S,N
37,2025-06-13T15:51:30.197596,S,N
38,2025-06-13T15:51:35.341131,S,N
39,2025-06-13T15:51:40.206135,S,N
40,2025-06-13T15:51:45.262166,S,E
41,2025-06-13T15:51:50.245566,S,W
42,2025-06-13T15:51:55.222512,W,W
43,2025-06-13T15:52:00.354870,W,E
44,2025-06-13T15:52:05.259971,W,E
45,2025-06-13T15:52:10.250397,S,E
46,2025-06-13T15:52:15.295108,S,S
47,2025-06-13T15:52:20.275766,W,W
48,2025-06-13T15:52:25.249790,W,W
49,2025-06-13T15:52:30.202105,W,W
50,2025-06-13T15:52:35.202520,W,N
51,2025-06-13T15:52:40.200698,W,W
52,2025-06-13T15:52:45.219834,S,N
53,2025-06-13T15:52:50.268639,S,S
54,2025-06-13T15:52:55.147568,W,W
55,2025-06-13T15:53:00.276346,W,N
56,2025-06-13T15:53:05.224677,S,N
57,2025-06-13T15:53:10.269858,S,N
58,2025-06-13T15:53:15.218503,W,E
59,2025-06-13T15:53:20.208585,W,W
60,2025-06-13T15:53:25.227405,N,N
