index,timestamp,message,cam_wind_direction
1,2025-06-13T16:01:53.963292,N,S
2,2025-06-13T16:01:58.452224,N,W
3,2025-06-13T16:02:03.290027,E,N
4,2025-06-13T16:02:08.385681,E,N
5,2025-06-13T16:02:13.317005,E,E
6,2025-06-13T16:02:18.429992,E,S
7,2025-06-13T16:02:23.367011,W,W
8,2025-06-13T16:02:28.287995,W,W
9,2025-06-13T16:02:33.288697,N,N
10,2025-06-13T16:02:38.274114,E,W
11,2025-06-13T16:02:43.319472,E,E
12,2025-06-13T16:02:48.310762,W,W
13,2025-06-13T16:02:53.359706,W,W
14,2025-06-13T16:02:58.627061,E,E
15,2025-06-13T16:03:03.329686,E,E
16,2025-06-13T16:03:08.294753,E,E
17,2025-06-13T16:03:13.397484,S,S
18,2025-06-13T16:03:18.405677,E,E
19,2025-06-13T16:03:23.343578,N,N
20,2025-06-13T16:03:28.316348,S,S
21,2025-06-13T16:03:33.339599,N,N
22,2025-06-13T16:03:38.372032,N,N
23,2025-06-13T16:03:43.319485,E,E
24,2025-06-13T16:03:48.333290,E,E
25,2025-06-13T16:03:53.470895,E,E
26,2025-06-13T16:03:58.337922,N,N
27,2025-06-13T16:04:03.467984,E,E
28,2025-06-13T16:04:08.330382,E,E
