index,timestamp,global_frame_number,message,cam_wind_direction
1,2025-06-13T17:33:30.671738,291869,W,W
2,2025-06-13T17:33:35.666607,291955,N,N
3,2025-06-13T17:33:40.576416,292173,W,N
4,2025-06-13T17:33:45.541015,292263,N,N
5,2025-06-13T17:33:50.639477,292445,S,S
6,2025-06-13T17:33:55.514001,292625,E,E
7,2025-06-13T17:34:00.617720,292716,E,E
8,2025-06-13T17:34:05.680147,292897,E,E
9,2025-06-13T17:34:10.649124,293079,W,W
10,2025-06-13T17:34:15.608163,293169,W,W
11,2025-06-13T17:34:20.697515,293350,S,S
12,2025-06-13T17:34:25.706445,293531,N,N
13,2025-06-13T17:34:30.664484,293621,N,N
14,2025-06-13T17:34:35.733936,293803,N,N
15,2025-06-13T17:34:40.661056,293984,W,W
16,2025-06-13T17:34:45.670308,294074,N,N
17,2025-06-13T17:34:50.596326,294256,N,N
18,2025-06-13T17:34:55.587165,294437,S,S
19,2025-06-13T17:35:00.595170,294527,S,S
20,2025-06-13T17:35:05.549354,294708,W,S
21,2025-06-13T17:35:11.082645,294889,S,S
22,2025-06-13T17:35:15.730758,294979,E,E
23,2025-06-13T17:35:20.658258,295161,E,E
24,2025-06-13T17:35:25.755066,295251,E,E
25,2025-06-13T17:35:30.663702,295432,N,N
26,2025-06-13T17:35:35.623689,295614,S,S
27,2025-06-13T17:35:40.608754,295705,N,N
28,2025-06-13T17:35:45.485740,295887,E,E
29,2025-06-13T17:35:50.547709,296068,W,W
30,2025-06-13T17:35:55.562189,296158,W,W
31,2025-06-13T17:36:00.580237,296340,N,N
32,2025-06-13T17:36:05.563483,296521,E,E
33,2025-06-13T17:36:10.617848,296611,S,S
34,2025-06-13T17:36:15.547940,296793,W,W
35,2025-06-13T17:36:20.781900,296974,N,N
36,2025-06-13T17:36:25.574878,297064,N,N
37,2025-06-13T17:36:30.614161,297246,N,N
38,2025-06-13T17:36:35.575456,297427,N,N
39,2025-06-13T17:36:40.594533,297518,W,W
40,2025-06-13T17:36:45.629707,297699,E,E
41,2025-06-13T17:36:50.546950,297880,W,W
42,2025-06-13T17:36:55.595428,297970,N,N
43,2025-06-13T17:37:00.653507,298151,N,N
44,2025-06-13T17:37:05.657140,298332,N,N
45,2025-06-13T17:37:10.493599,298422,W,W
46,2025-06-13T17:37:15.606532,298604,W,S
47,2025-06-13T17:37:20.629229,298784,N,N
48,2025-06-13T17:37:25.565770,298874,N,N
49,2025-06-13T17:37:30.558073,299056,W,S
50,2025-06-13T17:37:35.550198,299236,E,E
51,2025-06-13T17:37:40.661798,299327,W,W
52,2025-06-13T17:37:45.649732,299508,S,S
53,2025-06-13T17:37:50.668112,299689,W,W
54,2025-06-13T17:37:55.588576,299779,N,N
55,2025-06-13T17:38:00.601941,299961,E,E
56,2025-06-13T17:38:05.553121,300051,N,N
57,2025-06-13T17:38:10.519761,300232,N,N
58,2025-06-13T17:38:15.565727,300414,N,N
59,2025-06-13T17:38:20.666289,300504,W,W
60,2025-06-13T17:38:25.572653,300686,W,W
61,2025-06-13T17:38:30.634675,300867,W,W
62,2025-06-13T17:38:35.737958,300957,W,W
63,2025-06-13T17:38:40.477939,301138,S,S
64,2025-06-13T17:38:45.666737,301319,N,N
65,2025-06-13T17:38:50.556507,301410,E,W
66,2025-06-13T17:38:55.628387,301591,W,W
67,2025-06-13T17:39:00.560987,301771,S,S
68,2025-06-13T17:39:05.591348,301861,N,N
69,2025-06-13T17:39:10.536466,302042,N,N
70,2025-06-13T17:39:15.575038,302223,W,W
71,2025-06-13T17:39:20.508208,302314,N,N
72,2025-06-13T17:39:25.622789,302495,S,S
73,2025-06-13T17:39:30.616667,302676,S,S
74,2025-06-13T17:39:35.584940,302766,W,W
75,2025-06-13T17:39:40.597233,302947,S,S
76,2025-06-13T17:39:45.631684,303129,S,S
77,2025-06-13T17:39:50.541104,303219,W,W
78,2025-06-13T17:39:55.681927,303400,N,N
79,2025-06-13T17:40:00.613360,303580,N,N
80,2025-06-13T17:40:05.517032,303671,W,W
81,2025-06-13T17:40:10.520809,303852,W,N
82,2025-06-13T17:40:15.603432,304034,N,N
83,2025-06-13T17:40:20.555572,304124,W,W
84,2025-06-13T17:40:25.475494,304306,W,W
85,2025-06-13T17:40:30.548180,304488,S,S
86,2025-06-13T17:40:35.650486,304578,N,N
87,2025-06-13T17:40:40.660655,304759,W,W
88,2025-06-13T17:40:46.073722,304850,N,N
89,2025-06-13T17:40:50.559053,305030,N,N
90,2025-06-13T17:40:55.522642,305211,N,N
91,2025-06-13T17:41:00.643585,305301,E,E
92,2025-06-13T17:41:05.601347,305482,W,W
93,2025-06-13T17:41:10.611066,305663,N,N
94,2025-06-13T17:41:15.641177,305753,N,N
95,2025-06-13T17:41:20.579664,305934,W,N
96,2025-06-13T17:41:25.523494,306115,S,N
97,2025-06-13T17:41:30.577318,306206,N,N
98,2025-06-13T17:41:35.647003,306388,W,S
99,2025-06-13T17:41:40.651705,306569,W,W
100,2025-06-13T17:41:46.188474,306659,S,S
101,2025-06-13T17:41:50.551850,306840,W,W
102,2025-06-13T17:41:55.596910,307021,W,W
103,2025-06-13T17:42:00.824031,307112,E,E
104,2025-06-13T17:42:05.572390,307293,N,N
105,2025-06-13T17:42:10.564674,307474,N,N
106,2025-06-13T17:42:15.649259,307564,W,W
107,2025-06-13T17:42:20.573717,307745,W,W
108,2025-06-13T17:42:25.500952,307926,N,N
109,2025-06-13T17:42:30.586588,308017,E,E
110,2025-06-13T17:42:35.610100,308199,N,N
111,2025-06-13T17:42:40.619580,308380,W,W
112,2025-06-13T17:42:45.593224,308470,N,N
113,2025-06-13T17:42:50.470214,308652,E,E
114,2025-06-13T17:42:55.600877,308833,E,E
115,2025-06-13T17:43:00.483144,308923,E,E
116,2025-06-13T17:43:05.599340,309105,N,N
117,2025-06-13T17:43:10.496125,309287,W,W
*,*,*,*,*
118,2025-06-13T17:43:15.705907,309377,N,N
119,2025-06-13T17:43:20.608494,309558,N,N
120,2025-06-13T17:43:25.504213,309739,W,W
121,2025-06-13T17:43:30.542863,309829,E,E
122,2025-06-13T17:43:35.505271,310009,S,S
123,2025-06-13T17:43:40.626958,310100,N,N
124,2025-06-13T17:43:45.653610,310282,E,E
125,2025-06-13T17:43:50.643127,310464,W,W
126,2025-06-13T17:43:55.661943,310554,E,E
127,2025-06-13T17:44:00.537376,310735,W,W
128,2025-06-13T17:44:05.660119,310916,N,N
