index,timestamp,message,cam_wind_direction
1,2025-06-13T16:42:55.679717,E,E
2,2025-06-13T16:43:00.837403,E,E
3,2025-06-13T16:43:05.744327,E,E
4,2025-06-13T16:43:10.596713,E,E
5,2025-06-13T16:43:15.555131,N,E
6,2025-06-13T16:43:20.443173,N,E
7,2025-06-13T16:43:25.439567,W,W
8,2025-06-13T16:43:30.455113,N,N
9,2025-06-13T16:43:35.432818,W,W
10,2025-06-13T16:43:40.426518,W,W
11,2025-06-13T16:43:45.452158,S,S
12,2025-06-13T16:43:50.437601,E,E
13,2025-06-13T16:43:55.446268,E,E
14,2025-06-13T16:44:00.520121,E,E
15,2025-06-13T16:44:05.488437,W,E
16,2025-06-13T16:44:10.490958,W,S
17,2025-06-13T16:44:15.472895,E,E
18,2025-06-13T16:44:20.563095,E,E
19,2025-06-13T16:44:25.464694,N,N
20,2025-06-13T16:44:30.480968,N,N
21,2025-06-13T16:44:35.436923,W,W
22,2025-06-13T16:44:40.443708,N,E
23,2025-06-13T16:44:45.438952,S,S
24,2025-06-13T16:44:50.402100,E,E
25,2025-06-13T16:44:55.508713,W,W
26,2025-06-13T16:45:00.426626,W,S
27,2025-06-13T16:45:05.559607,S,S
28,2025-06-13T16:45:10.511992,S,S
29,2025-06-13T16:45:15.404683,E,E
30,2025-06-13T16:45:20.466759,E,E
31,2025-06-13T16:45:25.451150,E,E
32,2025-06-13T16:45:30.460815,E,E
33,2025-06-13T16:45:35.521720,W,W
34,2025-06-13T16:45:40.458326,W,N
35,2025-06-13T16:45:45.494593,E,S
36,2025-06-13T16:45:50.379238,N,N
37,2025-06-13T16:45:55.464764,W,N
38,2025-06-13T16:46:00.424666,S,E
39,2025-06-13T16:46:05.468235,N,N
40,2025-06-13T16:46:10.457751,S,S
41,2025-06-13T16:46:15.479957,S,S
42,2025-06-13T16:46:20.553882,S,S
43,2025-06-13T16:46:25.403143,W,W
44,2025-06-13T16:46:30.463419,S,S
45,2025-06-13T16:46:35.562032,N,N
46,2025-06-13T16:46:40.471169,N,N
47,2025-06-13T16:46:45.436786,N,N
48,2025-06-13T16:46:50.360924,W,W
49,2025-06-13T16:46:55.520282,W,W
50,2025-06-13T16:47:00.457914,W,W
51,2025-06-13T16:47:05.571262,W,W
52,2025-06-13T16:47:10.470114,W,W
53,2025-06-13T16:47:15.450478,E,E
54,2025-06-13T16:47:20.443426,S,S
55,2025-06-13T16:47:25.420153,S,S
56,2025-06-13T16:47:30.429849,N,S
57,2025-06-13T16:47:35.465189,S,S
58,2025-06-13T16:47:40.477526,S,S
59,2025-06-13T16:47:45.411935,E,E
60,2025-06-13T16:47:50.423781,E,E
61,2025-06-13T16:47:55.376968,E,E
62,2025-06-13T16:48:00.509148,E,E
63,2025-06-13T16:48:05.413028,E,S
64,2025-06-13T16:48:10.683193,S,S
65,2025-06-13T16:48:15.541023,N,N
66,2025-06-13T16:48:20.476064,N,E
67,2025-06-13T16:48:25.457890,N,E
68,2025-06-13T16:48:30.483745,W,W
69,2025-06-13T16:48:35.458009,W,W
70,2025-06-13T16:48:40.397606,W,W
71,2025-06-13T16:48:45.453846,W,S
72,2025-06-13T16:48:50.423010,N,N
73,2025-06-13T16:48:55.627697,W,W
74,2025-06-13T16:49:00.395730,S,S
75,2025-06-13T16:49:05.408888,W,S
76,2025-06-13T16:49:10.416076,S,S
77,2025-06-13T16:49:15.358541,E,E
78,2025-06-13T16:49:20.556367,W,E
79,2025-06-13T16:49:25.464404,W,N
80,2025-06-13T16:49:30.418371,N,N
81,2025-06-13T16:49:35.447291,N,N
82,2025-06-13T16:49:40.492407,E,E
83,2025-06-13T16:49:45.417641,N,N
84,2025-06-13T16:49:50.378308,N,N
85,2025-06-13T16:49:55.448871,W,W
86,2025-06-13T16:50:00.422629,S,S
87,2025-06-13T16:50:05.501322,W,W
88,2025-06-13T16:50:10.432640,W,W
89,2025-06-13T16:50:15.441327,N,W
90,2025-06-13T16:50:20.372372,E,E
91,2025-06-13T16:50:25.423513,W,W
92,2025-06-13T16:50:30.504222,E,E
93,2025-06-13T16:50:35.447877,W,W
94,2025-06-13T16:50:40.504577,W,W
95,2025-06-13T16:50:45.542645,E,E
96,2025-06-13T16:50:50.413678,N,N
97,2025-06-13T16:50:55.500035,W,W
98,2025-06-13T16:51:00.420143,N,E
99,2025-06-13T16:51:05.412024,N,N
100,2025-06-13T16:51:10.438122,W,W
101,2025-06-13T16:51:15.487166,W,W
102,2025-06-13T16:51:20.559975,N,S
103,2025-06-13T16:51:25.430490,W,W
104,2025-06-13T16:51:30.528375,W,W
105,2025-06-13T16:51:35.576352,N,N
106,2025-06-13T16:51:40.538589,W,W
107,2025-06-13T16:51:45.426115,N,N
108,2025-06-13T16:51:50.433821,W,W
109,2025-06-13T16:51:55.401596,W,W
110,2025-06-13T16:52:00.473316,W,W
111,2025-06-13T16:52:05.599804,W,W
*,*,*,*
112,2025-06-13T16:52:10.644755,S,S
113,2025-06-13T16:52:15.576180,E,E
114,2025-06-13T16:52:20.620731,S,S
115,2025-06-13T16:52:25.413729,N,N
116,2025-06-13T16:52:30.434272,N,N
117,2025-06-13T16:52:35.653166,S,S
118,2025-06-13T16:52:40.498297,E,E
119,2025-06-13T16:52:45.631943,N,N
120,2025-06-13T16:52:50.607053,N,N
121,2025-06-13T16:52:55.708441,N,N
122,2025-06-13T16:53:00.411093,S,S
123,2025-06-13T16:53:05.567457,W,W
124,2025-06-13T16:53:10.594694,S,S
125,2025-06-13T16:53:15.561983,S,S
126,2025-06-13T16:53:20.354900,N,N
127,2025-06-13T16:53:25.473879,E,E
128,2025-06-13T16:53:30.463633,N,N
129,2025-06-13T16:53:35.376720,E,E
130,2025-06-13T16:53:40.540121,N,N
131,2025-06-13T16:53:45.430454,N,N
132,2025-06-13T16:53:50.549577,S,S
133,2025-06-13T16:53:55.448281,E,E
134,2025-06-13T16:54:00.456580,N,N
135,2025-06-13T16:54:05.449350,E,E
136,2025-06-13T16:54:10.469876,E,E
137,2025-06-13T16:54:15.422424,N,N
138,2025-06-13T16:54:20.495523,E,E
139,2025-06-13T16:54:25.442671,E,E
140,2025-06-13T16:54:30.448789,N,N
141,2025-06-13T16:54:35.506501,N,N
142,2025-06-13T16:54:40.529955,N,S
143,2025-06-13T16:54:45.373055,N,E
144,2025-06-13T16:54:50.456838,N,N
145,2025-06-13T16:54:55.507744,W,W
146,2025-06-13T16:55:00.436850,W,W
147,2025-06-13T16:55:05.423703,S,S
148,2025-06-13T16:55:10.439351,W,W
149,2025-06-13T16:55:15.466744,S,S
150,2025-06-13T16:55:20.486459,S,S
151,2025-06-13T16:55:25.374076,E,E
152,2025-06-13T16:55:30.457362,S,S
153,2025-06-13T16:55:35.392166,W,W
154,2025-06-13T16:55:40.481026,S,S
155,2025-06-13T16:55:45.463120,S,S
156,2025-06-13T16:55:50.616092,N,N
157,2025-06-13T16:55:55.537762,S,S
158,2025-06-13T16:56:00.485407,E,E
159,2025-06-13T16:56:05.569146,E,E
160,2025-06-13T16:56:10.627890,E,E
161,2025-06-13T16:56:15.451513,S,E
162,2025-06-13T16:56:20.553806,W,W
163,2025-06-13T16:56:25.409390,W,E
164,2025-06-13T16:56:30.436207,E,E
165,2025-06-13T16:56:35.442897,E,E
166,2025-06-13T16:56:40.511366,W,E
167,2025-06-13T16:56:45.411836,W,W
168,2025-06-13T16:56:50.750348,E,N
169,2025-06-13T16:56:55.467925,W,W
170,2025-06-13T16:57:00.462520,W,W
171,2025-06-13T16:57:05.453388,S,W
172,2025-06-13T16:57:10.531200,E,E
173,2025-06-13T16:57:15.488151,W,E
174,2025-06-13T16:57:20.466983,E,E
175,2025-06-13T16:57:25.411329,N,N
176,2025-06-13T16:57:30.473178,W,W
177,2025-06-13T16:57:35.427120,W,W
178,2025-06-13T16:57:40.413252,W,W
179,2025-06-13T16:57:45.462934,W,W
180,2025-06-13T16:57:50.509523,W,W
181,2025-06-13T16:57:55.531647,E,E
182,2025-06-13T16:58:00.411164,E,E
183,2025-06-13T16:58:05.377276,E,E
184,2025-06-13T16:58:10.735084,W,N
185,2025-06-13T16:58:15.482693,N,N
186,2025-06-13T16:58:20.433686,W,N
187,2025-06-13T16:58:25.467840,W,N
188,2025-06-13T16:58:30.446018,W,N
189,2025-06-13T16:58:35.461575,W,E
190,2025-06-13T16:58:40.528482,W,E
191,2025-06-13T16:58:45.415436,W,W
192,2025-06-13T16:58:50.483334,W,W
193,2025-06-13T16:58:55.454045,W,S
194,2025-06-13T16:59:00.404923,W,S
195,2025-06-13T16:59:05.454366,W,S
196,2025-06-13T16:59:10.496078,E,E
197,2025-06-13T16:59:15.502322,N,N
198,2025-06-13T16:59:20.430194,E,E
199,2025-06-13T16:59:25.428903,N,N
200,2025-06-13T16:59:30.399929,E,W
201,2025-06-13T16:59:35.516673,E,E
202,2025-06-13T16:59:40.544177,E,E
203,2025-06-13T16:59:45.444027,E,E
204,2025-06-13T16:59:50.458771,S,S
205,2025-06-13T16:59:55.669877,E,E
206,2025-06-13T17:00:00.460338,N,N
207,2025-06-13T17:00:05.540511,N,N
208,2025-06-13T17:00:10.611880,S,S
209,2025-06-13T17:00:15.466482,W,W
210,2025-06-13T17:00:20.504613,W,W
211,2025-06-13T17:00:25.407598,W,W
212,2025-06-13T17:00:30.487933,S,S
213,2025-06-13T17:00:35.413089,S,S
214,2025-06-13T17:00:40.471437,N,N
215,2025-06-13T17:00:45.412418,N,N
216,2025-06-13T17:00:50.476100,N,N
217,2025-06-13T17:00:55.694714,W,W
218,2025-06-13T17:01:00.465777,W,S
219,2025-06-13T17:01:05.396487,W,S
220,2025-06-13T17:01:10.445976,E,E
221,2025-06-13T17:01:15.626294,E,E
222,2025-06-13T17:01:20.773286,E,E
223,2025-06-13T17:01:25.454668,E,N
224,2025-06-13T17:01:30.471161,N,N
225,2025-06-13T17:01:35.378991,N,N
226,2025-06-13T17:01:40.462477,E,E
227,2025-06-13T17:01:45.450403,N,N
228,2025-06-13T17:01:50.567494,N,N
229,2025-06-13T17:01:55.548057,E,E
230,2025-06-13T17:02:00.484462,N,N
