index,timestamp,global_frame_number,message,cam_wind_direction
1,2025-06-13T15:55:01.403005,114243,S,E
2,2025-06-13T15:55:06.060523,114394,W,E
3,2025-06-13T15:55:11.150381,114539,E,W
4,2025-06-13T15:55:15.903587,114691,W,W
5,2025-06-13T15:55:21.039712,114844,N,N
6,2025-06-13T15:55:25.979647,114993,N,W
7,2025-06-13T15:55:31.070426,115140,N,S
8,2025-06-13T15:55:36.034764,115286,N,S
9,2025-06-13T15:55:40.940720,115441,S,S
10,2025-06-13T15:55:45.999699,115583,N,S
11,2025-06-13T15:55:51.002464,115744,E,N
12,2025-06-13T15:55:55.970691,115883,W,W
13,2025-06-13T15:56:00.973566,116033,E,S
14,2025-06-13T15:56:06.003335,116193,S,S
15,2025-06-13T15:56:10.979944,116345,W,W
16,2025-06-13T15:56:15.993338,116494,E,E
17,2025-06-13T15:56:20.935786,116645,N,N
18,2025-06-13T15:56:26.011376,116795,N,N
19,2025-06-13T15:56:30.941951,116946,W,W
20,2025-06-13T15:56:36.058239,117096,N,N
21,2025-06-13T15:56:40.950297,117234,S,S
22,2025-06-13T15:56:45.895837,117381,E,E
23,2025-06-13T15:56:50.949553,117547,N,N
24,2025-06-13T15:56:55.901798,117697,W,W
25,2025-06-13T15:57:01.062448,117842,S,S
26,2025-06-13T15:57:05.946746,117972,W,W
27,2025-06-13T15:57:10.913571,118146,W,W
28,2025-06-13T15:57:16.103818,118294,W,W
29,2025-06-13T15:57:20.966274,118446,S,S
30,2025-06-13T15:57:26.045997,118596,W,W
31,2025-06-13T15:57:30.888640,118746,S,S
32,2025-06-13T15:57:35.991624,118896,E,E
33,2025-06-13T15:57:41.022952,119045,S,E
34,2025-06-13T15:57:45.996818,119197,W,E
35,2025-06-13T15:57:50.955598,119347,W,W
36,2025-06-13T15:57:55.907799,119494,N,N
37,2025-06-13T15:58:00.976736,119646,W,W
38,2025-06-13T15:58:05.935755,119796,N,W
39,2025-06-13T15:58:10.886944,119910,N,W
40,2025-06-13T15:58:15.882635,120092,N,S
41,2025-06-13T15:58:20.948488,120247,N,E
42,2025-06-13T15:58:25.932895,120370,E,E
43,2025-06-13T15:58:31.012812,120546,N,N
44,2025-06-13T15:58:35.905312,120648,W,W
45,2025-06-13T15:58:40.867786,120832,N,N
46,2025-06-13T15:58:45.827148,120996,W,W
47,2025-06-13T15:58:50.915192,121110,N,N
48,2025-06-13T15:58:56.006291,121294,N,N
49,2025-06-13T15:59:00.931209,121447,N,N
50,2025-06-13T15:59:06.243733,121568,N,W
51,2025-06-13T15:59:10.980634,121745,N,W
52,2025-06-13T15:59:15.992388,121897,N,W
53,2025-06-13T15:59:20.994172,122044,N,W
54,2025-06-13T15:59:25.926334,122196,N,N
55,2025-06-13T15:59:30.936405,122342,N,N
56,2025-06-13T15:59:35.998648,122497,S,S
57,2025-06-13T15:59:41.051302,122620,W,W
