counter,N,E,S,W
0,25.8,22.6,15.6,43.4
1,37.6,22.8,20.6,65.8
2,42.4,28.2,28.2,68.4
3,40.4,28.6,28.2,69.0
4,43.0,27.8,35.8,65.4
5,44.4,24.8,30.4,70.8
6,47.0,23.8,24.4,75.2
7,40.0,23.2,25.6,83.0
8,44.0,24.6,23.6,76.6
9,40.8,28.8,29.2,75.8
10,37.0,26.0,21.6,81.8
11,42.8,25.6,23.8,81.8
12,29.2,60.8,41.0,39.2
13,29.2,81.4,37.2,24.4
14,27.0,66.8,34.6,42.2
15,34.4,65.6,39.2,30.8
16,36.4,67.0,39.6,29.0
17,29.2,70.6,40.6,27.8
18,32.4,53.8,54.2,34.2
19,30.6,66.6,43.0,29.2
20,30.2,69.4,40.8,27.8
21,28.4,73.4,36.6,24.0
22,35.2,67.0,35.4,25.4
23,16.6,50.4,23.4,16.4
