counter,N,E,S,W
0,14.666666666666666,11.0,9.333333333333334,23.0
1,11.0,10.0,8.0,22.666666666666668
2,13.333333333333334,11.666666666666666,6.666666666666667,29.666666666666668
3,20.0,13.666666666666666,13.666666666666666,28.666666666666668
4,21.333333333333332,9.333333333333334,15.0,30.666666666666668
5,20.333333333333332,15.0,10.666666666666666,28.666666666666668
6,18.333333333333332,16.333333333333332,14.333333333333334,29.0
7,20.0,13.666666666666666,15.0,31.333333333333332
8,19.333333333333332,18.333333333333332,12.666666666666666,24.666666666666668
9,16.0,11.0,21.333333333333332,30.333333333333332
10,25.0,13.0,12.0,27.333333333333332
11,12.666666666666666,9.333333333333334,16.333333333333332,39.0
12,20.666666666666668,11.666666666666666,11.666666666666666,31.333333333333332
13,21.0,8.666666666666666,10.666666666666666,39.0
14,21.0,12.0,8.333333333333334,36.333333333333336
15,14.666666666666666,6.0,12.333333333333334,42.666666666666664
16,21.333333333333332,13.666666666666666,9.666666666666666,33.333333333333336
17,20.666666666666668,11.0,11.0,34.666666666666664
18,17.333333333333332,10.0,18.0,33.666666666666664
19,19.666666666666668,13.666666666666666,10.0,32.333333333333336
20,21.333333333333332,12.666666666666666,12.666666666666666,31.666666666666668
21,18.0,13.0,7.0,39.0
22,13.666666666666666,15.333333333333334,10.666666666666666,36.666666666666664
23,18.333333333333332,9.333333333333334,12.333333333333334,36.666666666666664
24,11.0,28.333333333333332,20.333333333333332,18.333333333333332
25,19.0,24.0,17.0,20.0
26,11.333333333333334,31.0,16.0,15.666666666666666
27,19.666666666666668,36.333333333333336,12.666666666666666,10.333333333333334
28,14.0,32.666666666666664,10.666666666666666,20.333333333333332
29,10.666666666666666,25.666666666666668,17.333333333333332,23.333333333333332
30,13.333333333333334,30.666666666666668,19.666666666666668,12.666666666666666
31,13.666666666666666,25.666666666666668,17.333333333333332,21.666666666666668
32,14.666666666666666,27.666666666666668,21.333333333333332,14.666666666666666
33,15.0,30.666666666666668,13.666666666666666,15.0
34,15.333333333333334,32.0,18.0,13.666666666666666
35,11.333333333333334,29.0,23.0,13.666666666666666
36,13.333333333333334,21.666666666666668,27.333333333333332,15.0
37,17.0,21.666666666666668,21.333333333333332,17.333333333333332
38,17.333333333333332,26.666666666666668,19.666666666666668,14.666666666666666
39,14.666666666666666,32.666666666666664,18.0,13.0
40,11.333333333333334,28.0,19.333333333333332,14.333333333333334
41,18.0,36.666666666666664,11.666666666666666,12.0
42,12.666666666666666,35.333333333333336,13.666666666666666,13.0
43,15.333333333333334,32.333333333333336,20.333333333333332,9.666666666666666
44,19.0,25.0,17.0,12.666666666666666
45,17.333333333333332,39.0,9.333333333333334,12.333333333333334
46,11.0,43.666666666666664,10.666666666666666,10.666666666666666
47,1.6666666666666667,7.666666666666667,5.0,2.3333333333333335
