index,timestamp,global_frame_number,message,cam_wind_direction
1,2025-06-13T16:01:26.290480,291953,S,E
2,2025-06-13T16:01:26.313297,291953,N,E
3,2025-06-13T16:01:28.561182,292175,S,S
4,2025-06-13T16:01:33.015363,292266,S,S
5,2025-06-13T16:01:37.913509,292448,W,W
6,2025-06-13T16:01:42.983873,292629,W,W
7,2025-06-13T16:01:47.991106,292720,W,W
8,2025-06-13T16:01:52.955276,292902,W,W
9,2025-06-13T16:01:58.142864,293083,W,W
10,2025-06-13T16:02:02.951407,293173,S,S
11,2025-06-13T16:02:07.980915,293355,W,W
12,2025-06-13T16:02:12.864342,293536,S,S
13,2025-06-13T16:02:18.047548,293626,W,W
14,2025-06-13T16:02:23.062052,293807,W,W
15,2025-06-13T16:02:27.939866,293898,W,W
16,2025-06-13T16:02:32.918945,294079,N,N
17,2025-06-13T16:02:38.024331,294260,N,N
18,2025-06-13T16:02:43.066808,294350,W,W
19,2025-06-13T16:02:48.081637,294531,N,N
20,2025-06-13T16:02:52.870702,294711,N,N
21,2025-06-13T16:02:57.885028,294801,W,W
22,2025-06-13T16:03:02.972309,294983,N,N
23,2025-06-13T16:03:07.916888,295165,N,N
24,2025-06-13T16:03:12.881278,295255,W,W
25,2025-06-13T16:03:17.842760,295436,E,E
26,2025-06-13T16:03:22.933746,295618,N,N
27,2025-06-13T16:03:28.040009,295709,W,W
28,2025-06-13T16:03:32.959884,295890,S,S
29,2025-06-13T16:03:37.964411,296071,N,N
30,2025-06-13T16:03:43.030409,296162,W,W
31,2025-06-13T16:03:48.008898,296343,W,W
32,2025-06-13T16:03:52.857484,296524,N,N
33,2025-06-13T16:03:58.051745,296614,E,E
34,2025-06-13T16:04:03.059412,296795,W,W
35,2025-06-13T16:04:08.038889,296976,W,W
36,2025-06-13T16:04:12.929900,297067,S,E
37,2025-06-13T16:04:17.889331,297249,W,W
38,2025-06-13T16:04:22.891286,297429,W,W
39,2025-06-13T16:04:27.931215,297520,N,N
40,2025-06-13T16:04:32.880001,297701,N,N
41,2025-06-13T16:04:37.973378,297882,W,W
42,2025-06-13T16:04:43.068529,297973,W,W
43,2025-06-13T16:04:47.988502,298153,N,N
44,2025-06-13T16:04:52.948956,298335,S,N
45,2025-06-13T16:04:57.873540,298425,E,E
46,2025-06-13T16:05:03.462841,298607,W,N
47,2025-06-13T16:05:07.915449,298788,W,N
48,2025-06-13T16:05:12.990534,298878,E,E
49,2025-06-13T16:05:17.949504,299058,E,E
50,2025-06-13T16:05:22.931652,299148,W,W
51,2025-06-13T16:05:27.901318,299330,W,W
52,2025-06-13T16:05:33.009668,299512,W,W
53,2025-06-13T16:05:38.304074,299603,E,W
54,2025-06-13T16:05:42.952037,299784,W,W
55,2025-06-13T16:05:47.903509,299965,E,E
56,2025-06-13T16:05:53.009113,300056,N,N
57,2025-06-13T16:05:58.013737,300238,N,N
58,2025-06-13T16:06:03.020305,300420,E,N
59,2025-06-13T16:06:07.981261,300510,W,W
60,2025-06-13T16:06:12.884653,300691,E,E
61,2025-06-13T16:06:18.431616,300872,E,N
62,2025-06-13T16:06:22.956584,300963,S,W
63,2025-06-13T16:06:27.950737,301143,W,W
64,2025-06-13T16:06:33.060647,301325,E,E
