counter,E,S,N,W
105,1,1,0,0
106,5,0,9,7
107,5,6,13,11
108,12,12,9,13
109,18,8,14,14
110,18,14,14,14
111,11,18,14,17
112,13,21,10,16
113,18,17,10,15
114,26,9,7,18
115,22,14,12,12
116,19,20,12,9
117,18,14,16,12
118,24,14,12,10
119,32,8,6,14
120,19,10,18,13
121,17,12,20,11
122,18,14,12,16
123,11,14,23,12
124,16,15,17,12
125,21,9,14,16
126,29,7,17,7
127,19,17,17,7
128,40,9,7,4
129,23,16,9,12
130,25,18,8,9
131,21,15,12,12
0,1,0,3,2
2,1,0,1,3
6,1,0,3,1
7,2,1,0,1
8,1,0,0,2
13,2,1,2,0
14,1,1,2,0
17,1,1,0,2
19,1,1,0,1
20,2,1,2,0
21,1,1,0,2
23,1,1,1,1
24,1,1,1,1
25,3,1,0,0
26,2,1,0,0
27,2,1,2,0
28,3,0,1,0
29,1,2,1,0
30,2,1,1,0
31,1,3,0,0
32,2,1,1,0
33,2,0,0,1
34,2,3,0,0
35,2,0,1,1
36,1,1,1,1
37,1,0,2,1
38,1,1,1,1
39,1,2,1,0
42,3,0,0,1
43,2,1,0,1
44,2,1,0,0
45,1,0,1,3
46,1,0,2,1
1,0,1,0,2
5,0,1,0,2
11,0,1,0,3
18,0,2,1,1
4,0,0,3,1
10,0,0,1,3
12,0,0,2,1
15,0,0,1,2
16,0,0,2,3
22,0,0,1,3
40,0,0,1,2
41,0,0,4,1
3,0,0,0,4
9,0,0,0,5
