counter,S,N,W,E
0,10,5,5,10
1,7,7,13,13
2,8,19,16,7
3,9,22,24,11
4,6,16,38,11
5,11,17,26,19
6,8,19,30,14
7,5,18,39,8
8,11,14,44,7
9,9,15,38,8
10,18,22,26,5
11,10,19,36,10
12,10,20,32,10
13,9,16,34,11
14,11,18,30,10
15,5,11,53,8
16,8,20,31,12
17,7,21,34,9
18,8,20,38,6
19,5,17,47,5
20,9,21,35,5
21,12,18,34,6
22,7,25,36,7
23,7,12,41,13
24,17,21,8,26
25,17,7,11,33
26,17,17,8,33
27,14,5,15,36
28,31,3,11,25
29,23,12,11,32
30,17,7,10,38
31,12,7,14,38
32,8,12,5,43
33,16,9,12,39
34,16,9,9,35
35,8,8,22,35
36,8,14,20,31
37,21,17,10,25
38,24,10,4,32
39,21,8,8,33
40,19,11,14,32
41,23,9,11,26
42,17,15,14,27
43,10,18,15,29
44,17,13,13,26
45,22,9,13,22
46,13,15,12,27
47,11,5,5,1
99,1,0,3,0
103,1,1,0,2
104,1,1,1,0
105,1,0,2,2
106,3,0,1,0
107,1,0,1,1
110,1,0,2,1
111,1,0,2,0
112,1,0,0,4
113,1,1,1,1
116,1,1,0,2
118,2,0,0,1
119,2,1,0,2
120,3,0,1,0
121,1,0,0,3
122,2,0,0,1
124,1,0,0,0
98,0,1,2,2
101,0,1,0,4
102,0,1,1,2
109,0,1,3,0
115,0,2,0,3
117,0,1,0,3
123,0,1,0,4
97,0,0,1,0
100,0,0,3,0
114,0,0,2,1
108,0,0,0,5
