index,timestamp,global_frame_number,message,cam_wind_direction
1,2025-06-13T15:05:52.432773,50435,N,E
2,2025-06-13T15:05:57.181889,50629,W,S
3,2025-06-13T15:06:01.782730,50818,W,E
4,2025-06-13T15:06:06.742959,50882,N,S
5,2025-06-13T15:06:11.847276,51122,N,W
6,2025-06-13T15:06:16.738704,51216,N,N
7,2025-06-13T15:06:21.875698,51400,N,N
8,2025-06-13T15:06:26.739237,51484,E,N
9,2025-06-13T15:06:31.785109,51679,E,N
10,2025-06-13T15:06:36.790042,51865,W,W
11,2025-06-13T15:06:41.837767,51903,E,E
12,2025-06-13T15:06:46.833025,52164,W,E
13,2025-06-13T15:06:52.132979,52255,W,W
14,2025-06-13T15:06:56.764337,52438,W,W
15,2025-06-13T15:07:01.768979,52621,S,S
16,2025-06-13T15:07:07.130878,52714,W,W
17,2025-06-13T15:07:11.782430,52893,N,N
18,2025-06-13T15:07:16.743147,52986,W,W
19,2025-06-13T15:07:21.746684,53170,W,W
20,2025-06-13T15:07:27.091246,53351,W,W
21,2025-06-13T15:07:31.709929,53442,N,N
22,2025-06-13T15:07:36.691052,53626,W,W
23,2025-06-13T15:07:41.747120,53807,N,N
24,2025-06-13T15:07:46.699445,53898,E,E
25,2025-06-13T15:07:51.725467,54079,N,N
26,2025-06-13T15:07:56.765841,54260,N,N
27,2025-06-13T15:08:01.717343,54350,N,N
28,2025-06-13T15:08:06.722167,54531,S,S
29,2025-06-13T15:08:11.714808,54712,N,N
30,2025-06-13T15:08:16.755832,54802,N,N
31,2025-06-13T15:08:21.642349,54984,N,N
32,2025-06-13T15:08:26.656680,55166,N,E
33,2025-06-13T15:08:31.661015,55257,N,E
34,2025-06-13T15:08:37.148366,55438,W,S
35,2025-06-13T15:08:41.783784,55619,S,S
36,2025-06-13T15:08:46.650977,55709,W,W
37,2025-06-13T15:08:51.778303,55891,W,N
38,2025-06-13T15:08:56.763603,56073,N,N
39,2025-06-13T15:09:01.721469,56163,W,W
40,2025-06-13T15:09:06.684407,56343,W,E
41,2025-06-13T15:09:11.618268,56524,N,N
42,2025-06-13T15:09:16.638273,56615,W,S
43,2025-06-13T15:09:21.803042,56796,N,N
44,2025-06-13T15:09:26.706341,56977,N,N
45,2025-06-13T15:09:32.100567,57068,N,N
46,2025-06-13T15:09:37.051809,57249,N,N
47,2025-06-13T15:09:41.661704,57339,N,N
48,2025-06-13T15:09:46.756805,57520,N,N
49,2025-06-13T15:09:51.771715,57701,W,W
50,2025-06-13T15:09:56.742115,57791,W,W
51,2025-06-13T15:10:02.093416,57972,N,N
52,2025-06-13T15:10:06.824368,58153,E,E
53,2025-06-13T15:10:11.718530,58243,N,N
54,2025-06-13T15:10:16.723610,58424,E,E
55,2025-06-13T15:10:21.667770,58605,N,W
56,2025-06-13T15:10:26.724322,58695,W,W
57,2025-06-13T15:10:31.722304,58875,S,S
58,2025-06-13T15:10:36.658890,59056,E,E
59,2025-06-13T15:10:41.712342,59147,W,W
60,2025-06-13T15:10:46.726035,59327,E,E
61,2025-06-13T15:10:51.779510,59508,E,E
62,2025-06-13T15:10:56.808385,59599,N,N
63,2025-06-13T15:11:01.673018,59780,E,E
64,2025-06-13T15:11:06.687026,59961,N,N
65,2025-06-13T15:11:11.659853,60051,N,N
