index,timestamp,global_frame_number,message,cam_wind_direction
1,2025-06-13T15:56:48.177561,278231,W,W
2,2025-06-13T15:56:52.369082,278320,E,E
3,2025-06-13T15:56:57.436458,278509,W,W
4,2025-06-13T15:57:02.312494,278600,E,E
5,2025-06-13T15:57:07.252644,278781,W,E
6,2025-06-13T15:57:12.305424,278961,E,E
7,2025-06-13T15:57:17.287993,279047,W,W
8,2025-06-13T15:57:22.277116,279236,S,S
9,2025-06-13T15:57:27.238453,279418,S,S
10,2025-06-13T15:57:32.211775,279509,W,W
11,2025-06-13T15:57:37.339999,279691,W,N
12,2025-06-13T15:57:42.307090,279872,E,E
13,2025-06-13T15:57:47.279604,279963,E,E
14,2025-06-13T15:57:52.300129,280143,S,S
15,2025-06-13T15:57:57.261612,280324,E,E
16,2025-06-13T15:58:02.274852,280414,E,E
17,2025-06-13T15:58:07.267795,280597,E,E
18,2025-06-13T15:58:12.290132,280778,E,E
19,2025-06-13T15:58:17.297323,280868,W,W
20,2025-06-13T15:58:22.328236,281050,N,N
21,2025-06-13T15:58:27.237770,281231,E,E
22,2025-06-13T15:58:32.270202,281322,W,S
23,2025-06-13T15:58:37.239320,281503,N,N
24,2025-06-13T15:58:42.254910,281684,N,N
25,2025-06-13T15:58:47.329286,281774,W,N
26,2025-06-13T15:58:52.286354,281954,E,E
27,2025-06-13T15:58:57.296593,282136,N,N
28,2025-06-13T15:59:02.250990,282226,N,N
29,2025-06-13T15:59:07.205850,282407,E,E
30,2025-06-13T15:59:12.296271,282497,W,W
31,2025-06-13T15:59:17.258695,282678,E,E
32,2025-06-13T15:59:22.214393,282860,N,N
33,2025-06-13T15:59:27.216391,282951,S,S
34,2025-06-13T15:59:32.239515,283132,S,S
35,2025-06-13T15:59:37.204454,283313,S,S
36,2025-06-13T15:59:42.217549,283404,E,E
37,2025-06-13T15:59:47.267031,283585,W,W
38,2025-06-13T15:59:52.271991,283766,S,S
39,2025-06-13T15:59:57.204434,283856,S,S
40,2025-06-13T16:00:02.292343,284036,E,E
41,2025-06-13T16:00:07.302778,284217,E,E
42,2025-06-13T16:00:12.203590,284307,E,E
43,2025-06-13T16:00:17.277807,284489,E,E
44,2025-06-13T16:00:22.269718,284669,E,E
45,2025-06-13T16:00:27.307791,284759,E,E
46,2025-06-13T16:00:32.276100,284941,N,N
47,2025-06-13T16:00:37.293115,285122,E,E
48,2025-06-13T16:00:42.331901,285213,E,E
49,2025-06-13T16:00:47.285000,285395,N,N
50,2025-06-13T16:00:52.277828,285575,W,W
51,2025-06-13T16:00:57.274162,285666,E,E
52,2025-06-13T16:01:02.220395,285847,N,N
53,2025-06-13T16:01:07.278776,286028,N,N
54,2025-06-13T16:01:12.257442,286119,N,N
55,2025-06-13T16:01:17.289181,286300,W,W
56,2025-06-13T16:01:22.243284,286482,S,S
57,2025-06-13T16:01:27.279787,286573,W,S
58,2025-06-13T16:01:32.242336,286754,W,W
59,2025-06-13T16:01:37.213935,286935,S,S
60,2025-06-13T16:01:42.256479,287026,N,N
61,2025-06-13T16:01:47.305972,287207,S,S
62,2025-06-13T16:01:52.240021,287297,N,N
63,2025-06-13T16:01:57.269694,287479,W,W
64,2025-06-13T16:02:02.245561,287660,E,E
65,2025-06-13T16:02:07.274915,287750,W,N
66,2025-06-13T16:02:12.268358,287932,W,E
67,2025-06-13T16:02:17.266216,288113,W,W
68,2025-06-13T16:02:22.256104,288203,W,W
69,2025-06-13T16:02:27.284405,288384,W,W
70,2025-06-13T16:02:32.301206,288566,E,E
71,2025-06-13T16:02:37.254547,288656,W,W
72,2025-06-13T16:02:42.222868,288837,W,W
73,2025-06-13T16:02:47.280125,289017,E,E
74,2025-06-13T16:02:52.249291,289107,W,W
75,2025-06-13T16:02:57.219485,289289,S,S
76,2025-06-13T16:03:02.298391,289471,W,W
77,2025-06-13T16:03:07.235189,289562,E,E
78,2025-06-13T16:03:12.290915,289743,S,S
79,2025-06-13T16:03:17.255726,289924,N,N
80,2025-06-13T16:03:22.202097,290015,N,N
81,2025-06-13T16:03:27.287117,290196,N,N
82,2025-06-13T16:03:32.286662,290377,W,W
83,2025-06-13T16:03:37.298387,290467,S,S
84,2025-06-13T16:03:42.303427,290649,E,E
85,2025-06-13T16:03:47.274061,290830,E,E
86,2025-06-13T16:03:52.237608,290920,S,S
87,2025-06-13T16:03:57.299254,291101,E,W
88,2025-06-13T16:04:02.277105,291282,E,E
89,2025-06-13T16:04:07.292509,291372,S,W
