counter,N,E,S,W
0,44.8,21.6,16.0,26.4
1,38.8,14.0,17.2,46.8
2,33.2,10.4,12.4,66.6
3,48.2,15.8,19.0,110.4
4,43.4,13.4,18.4,83.8
5,39.2,21.0,14.6,85.0
6,40.2,16.0,18.2,86.8
7,36.2,17.2,17.2,91.0
8,44.6,13.0,14.6,89.0
9,49.4,16.2,15.0,79.0
10,36.0,11.0,17.2,95.8
11,37.6,13.4,15.8,92.4
12,26.0,76.6,49.0,27.8
13,19.0,89.6,33.4,17.0
14,21.2,93.4,26.6,18.0
15,24.0,74.2,37.8,22.4
16,19.2,89.4,35.4,14.8
17,16.0,95.4,29.6,19.0
18,16.4,92.2,33.0,15.6
19,16.8,91.4,31.8,18.0
20,21.2,85.0,37.0,15.6
21,18.6,93.2,29.2,16.6
22,17.2,93.6,28.6,15.6
23,8.8,56.2,20.6,10.0
