counter,N,W,X,S,E
1,1,1,16,1,0
2,2,2,14,1,0
3,2,4,11,2,0
4,2,4,9,3,1
5,4,5,8,2,0
6,5,4,8,1,1
7,2,6,7,1,3
8,3,4,7,3,2
9,5,4,7,2,1
10,9,3,7,0,0
11,8,4,7,0,0
12,8,4,7,0,0
13,6,4,7,2,0
14,4,5,7,1,2
15,6,4,7,2,0
16,3,5,7,3,1
17,5,3,7,3,1
18,3,5,7,4,0
19,1,6,6,3,3
20,2,6,5,3,3
21,8,4,3,4,0
22,8,4,3,4,0
23,8,4,3,4,0
24,8,5,3,2,1
25,7,6,2,4,0
26,5,3,2,6,3
27,3,10,2,4,0
28,2,10,2,5,0
29,3,11,2,2,1
30,4,9,2,2,2
31,6,7,2,3,1
32,8,6,2,1,2
33,6,10,2,1,0
34,3,11,1,1,3
35,1,15,1,0,2
36,5,11,1,1,1
37,5,12,1,0,1
38,5,10,1,2,1
39,5,11,0,1,2
40,3,11,0,2,3
41,7,6,0,1,5
42,3,12,0,1,3
43,1,15,0,2,1
44,2,11,0,4,2
45,5,7,0,4,3
46,4,9,0,1,5
47,8,10,0,1,0
48,2,15,0,1,1
49,3,11,0,0,5
50,4,11,0,3,1
51,5,13,0,0,1
52,2,16,0,0,1
53,5,11,0,0,3
54,6,9,0,2,2
55,3,10,0,3,3
56,4,10,0,2,3
57,7,7,0,2,3
58,7,6,0,4,2
59,3,8,0,5,3
60,3,14,0,1,1
61,5,10,0,2,2
62,6,9,0,3,1
63,5,7,0,3,4
64,5,12,0,1,1
65,3,15,0,1,0
66,6,9,0,3,1
67,5,7,0,6,1
68,2,9,0,6,2
69,4,10,0,2,3
70,4,11,0,1,3
71,4,14,0,1,0
72,2,12,0,4,1
73,7,7,0,2,3
74,5,10,0,2,2
75,4,13,0,1,1
76,1,15,0,2,1
77,4,12,0,0,3
78,2,15,0,0,2
79,4,14,0,1,0
80,6,10,0,1,2
81,7,7,0,4,1
82,6,8,0,5,0
83,7,8,0,2,2
84,3,15,0,0,1
85,1,16,0,0,2
86,5,13,0,1,0
87,8,9,0,0,2
88,4,13,0,2,0
89,3,13,0,2,1
90,3,14,0,1,1
91,4,12,0,0,3
92,6,9,0,1,3
93,4,11,0,2,2
94,7,5,0,4,3
95,2,11,0,5,1
96,5,10,0,0,4
97,7,9,0,3,0
98,1,13,0,3,2
99,5,10,0,2,2
100,8,9,0,1,1
101,5,10,0,1,3
102,3,14,0,1,1
103,4,12,0,2,1
104,3,14,0,0,2
105,3,15,0,1,0
106,3,12,0,4,0
107,4,14,0,1,0
108,3,12,0,2,2
109,3,13,0,2,1
110,2,13,0,1,3
111,4,12,0,2,1
112,1,14,0,3,1
113,2,12,0,2,3
114,5,9,0,4,1
115,5,11,0,1,2
116,6,10,0,1,2
117,5,13,0,0,1
118,5,12,0,0,2
119,1,11,0,4,3
120,4,5,0,2,8
121,5,1,0,1,12
122,5,1,0,2,11
123,1,1,0,6,11
124,2,1,0,9,7
125,2,2,0,6,9
126,2,4,0,3,10
127,1,1,0,5,12
128,2,0,0,1,16
129,1,1,0,2,15
130,3,0,0,5,11
131,2,2,0,6,9
132,1,2,0,4,12
133,1,1,0,6,11
134,1,1,0,9,8
135,1,3,0,7,8
136,1,4,0,2,12
137,8,1,0,1,9
138,4,2,0,4,9
139,4,1,0,2,12
140,3,0,0,4,12
141,2,2,0,4,11
142,2,2,0,5,10
143,4,2,0,3,10
144,6,1,0,1,11
145,2,0,0,0,17
146,2,2,0,3,12
147,1,0,0,2,16
148,1,1,0,3,14
149,2,0,0,2,15
150,1,4,0,3,11
151,4,3,0,4,8
152,4,4,0,3,8
153,5,1,0,5,8
154,3,4,0,3,9
155,2,2,0,3,12
156,3,1,0,2,13
157,1,2,0,4,12
158,3,2,0,3,11
159,2,4,0,3,10
160,2,4,0,4,9
161,3,5,0,1,10
162,1,2,0,2,14
163,1,2,0,1,15
164,3,5,0,4,7
165,2,1,0,6,10
166,1,0,0,3,15
167,1,1,0,1,16
168,3,1,0,3,12
169,2,2,0,5,10
170,1,1,0,3,14
171,1,2,0,1,15
172,1,1,0,2,15
173,3,1,0,1,14
174,1,2,0,1,15
175,1,1,0,6,11
176,1,2,0,6,10
177,2,0,0,4,13
178,1,2,0,0,16
179,3,1,0,0,15
180,5,0,0,1,13
181,4,1,0,6,8
182,5,2,0,2,10
183,3,0,0,2,14
184,1,0,0,1,17
185,3,2,0,3,11
186,4,2,0,6,7
187,4,2,0,5,8
188,3,1,0,2,13
189,2,0,0,0,17
190,2,0,0,0,17
191,2,1,0,2,14
192,1,4,0,2,12
193,1,0,0,0,18
194,2,4,0,3,10
195,2,2,0,4,11
196,1,3,0,2,13
197,3,4,0,4,8
198,4,1,0,5,9
199,6,2,0,3,8
200,7,0,0,4,8
201,4,2,0,7,6
202,3,1,0,5,10
203,2,0,0,6,11
204,0,17,0,0,2
205,0,19,0,0,0
206,0,14,0,2,3
207,0,19,0,0,0
208,0,2,0,0,17
209,0,2,0,2,15
210,0,1,0,2,16
211,0,2,0,7,10
212,0,2,0,1,16
213,0,1,0,5,13
214,0,1,0,0,18
215,0,1,0,4,14
216,0,1,0,5,13
217,0,1,0,4,14
218,0,4,0,1,14
219,0,1,0,4,14
220,0,2,0,0,17
221,0,1,0,5,13
222,0,1,0,0,18
223,0,1,0,0,18
224,0,1,0,4,14
225,0,1,0,7,11
226,0,0,0,1,18
227,0,0,0,4,15
228,0,0,0,4,15
229,0,0,0,3,16
230,0,0,0,3,16
231,0,0,0,2,17
232,0,0,0,4,15
233,0,0,0,7,12
234,0,0,0,2,17
235,0,0,0,13,6
