counter,X,W,E,N,S
1,18,0,0,0,0
2,8,4,3,3,0
3,8,4,3,3,0
4,8,4,3,3,0
5,8,4,3,3,0
6,8,4,3,3,0
7,6,1,4,5,2
8,6,1,4,5,2
9,6,1,4,5,2
10,6,1,4,5,2
11,6,1,4,5,2
12,6,1,4,5,2
13,6,1,3,6,2
14,6,1,5,6,0
15,1,9,1,1,6
16,1,9,1,1,6
17,1,9,1,1,6
18,1,9,1,1,6
19,1,9,1,1,6
20,1,9,1,1,6
21,1,9,1,1,6
22,1,9,1,1,6
23,1,9,1,1,6
24,1,9,1,1,6
25,1,9,1,1,6
26,1,9,2,1,5
27,1,8,4,2,3
28,0,7,5,4,2
29,0,9,2,6,1
30,0,7,0,10,1
31,0,9,1,6,2
32,0,9,3,4,2
33,0,10,0,5,3
34,0,12,0,4,2
35,0,11,0,5,2
36,0,12,2,2,2
37,0,13,2,2,1
38,0,12,0,6,0
39,0,11,0,5,2
40,0,11,1,4,2
41,0,11,3,1,3
42,0,8,5,4,1
43,0,14,1,2,1
44,0,13,1,2,2
45,0,11,1,5,1
46,0,12,1,3,2
47,0,13,1,3,1
48,0,17,0,1,0
49,0,15,1,2,0
50,0,11,3,4,0
51,0,15,2,0,1
52,0,14,1,3,0
53,0,16,1,0,1
54,0,14,1,1,2
55,0,16,0,2,0
56,0,14,1,3,0
57,0,11,3,4,0
58,0,8,4,6,0
59,0,3,9,5,1
60,0,3,8,5,2
61,0,6,5,4,3
62,0,9,6,1,2
63,0,10,1,3,4
64,0,12,3,2,1
65,0,15,0,1,2
66,0,15,0,0,3
67,0,15,0,3,0
68,0,15,0,2,1
69,0,10,4,2,2
70,0,9,2,4,3
71,0,8,1,6,3
72,0,9,3,6,0
73,0,8,3,5,2
74,0,9,1,4,4
75,0,11,1,3,3
76,0,14,1,3,0
77,0,11,0,5,2
78,0,9,2,1,6
79,0,11,1,3,3
80,0,11,2,3,2
81,0,12,1,2,3
82,0,11,1,4,2
83,0,8,1,7,2
84,0,9,1,5,3
85,0,11,2,2,3
86,0,13,1,3,1
87,0,16,0,1,1
88,0,11,0,5,2
89,0,13,0,2,3
90,0,13,2,2,1
91,0,10,1,5,2
92,0,10,1,6,1
93,0,6,2,9,1
94,0,6,3,6,3
95,0,10,0,4,4
96,0,8,0,5,5
97,0,9,1,5,3
98,0,9,0,3,6
99,0,11,0,4,3
100,0,10,0,7,1
101,0,12,0,5,1
102,0,10,1,4,3
103,0,9,0,8,1
104,0,11,1,6,0
105,0,14,1,2,1
106,0,14,1,2,1
107,0,13,1,2,2
108,0,14,2,1,1
109,0,11,3,3,1
110,0,9,2,4,3
111,0,11,2,3,2
112,0,14,1,2,1
113,0,18,0,0,0
114,0,14,0,3,1
115,0,11,2,3,2
116,0,8,3,4,3
117,0,9,2,3,4
118,0,9,2,4,3
119,0,6,3,7,2
120,0,9,0,7,2
121,0,5,1,8,4
122,0,4,3,5,6
123,0,1,7,5,5
124,0,1,5,5,7
125,0,3,7,2,6
126,0,3,6,1,8
127,0,1,6,1,10
128,0,1,4,5,8
129,0,3,4,1,10
130,0,2,5,3,8
131,0,5,8,2,3
132,0,6,12,0,0
133,0,1,12,1,4
134,0,1,9,1,7
135,0,2,10,1,5
136,0,3,8,4,3
137,0,7,7,3,1
138,0,4,5,3,6
139,0,2,8,2,6
140,0,6,6,2,4
141,0,9,3,0,6
142,0,4,6,5,3
143,0,4,9,2,3
144,0,5,12,0,1
145,0,2,10,3,3
146,0,3,8,5,2
147,0,4,9,3,2
148,0,5,5,2,6
149,0,2,9,4,3
150,0,3,9,4,2
151,0,4,5,3,6
152,0,5,6,2,5
153,0,7,4,2,5
154,0,7,6,0,5
155,0,6,3,2,7
156,0,6,5,0,7
157,0,6,8,2,2
