counter,X,S,N,W,E
1,15,1,0,0,0
2,14,1,1,0,0
3,14,1,1,0,0
4,14,1,0,1,0
5,13,2,1,0,0
6,10,2,4,0,0
7,8,3,3,1,1
8,8,2,2,2,2
9,6,1,5,1,3
10,5,1,7,2,1
11,5,1,8,1,1
12,5,1,6,2,2
13,5,0,5,4,2
14,5,1,5,2,3
15,5,0,10,0,1
16,5,0,8,3,0
17,4,1,10,1,0
18,3,1,7,3,2
19,0,2,5,9,0
20,0,1,3,12,0
21,0,3,3,10,0
22,0,3,5,7,1
23,0,2,5,9,0
24,0,3,5,5,3
25,0,4,5,5,2
26,0,1,7,5,3
27,0,2,1,11,2
28,0,4,0,11,1
29,0,2,1,11,2
30,0,2,2,11,1
31,0,2,3,9,2
32,0,2,7,7,0
33,0,1,2,13,0
34,0,2,3,9,2
35,0,4,3,8,1
36,0,2,4,7,3
37,0,3,3,9,1
38,0,5,1,10,0
39,0,3,8,5,0
40,0,3,10,2,1
41,0,3,6,7,0
42,0,2,6,7,1
43,0,1,6,7,2
44,0,2,6,7,1
45,0,1,2,12,1
46,0,2,6,7,1
47,0,4,4,5,3
48,0,2,6,5,3
49,0,1,4,10,1
50,0,4,4,6,2
51,0,5,6,4,1
52,0,3,3,8,2
53,0,1,5,9,1
54,0,1,2,11,2
55,0,1,7,7,1
56,0,3,4,9,0
57,0,2,5,7,2
58,0,3,3,10,0
59,0,2,5,9,0
60,0,1,6,7,2
61,0,2,5,9,0
62,0,4,6,6,0
63,0,5,1,9,1
64,0,2,2,12,0
65,0,1,5,7,3
66,0,2,2,9,3
67,0,1,3,12,0
68,0,1,3,10,2
69,0,1,2,10,3
70,0,2,1,12,1
71,0,1,5,8,2
72,0,3,6,6,1
73,0,2,2,11,1
74,0,1,3,10,2
75,0,2,5,7,2
76,0,3,5,8,0
77,0,1,3,12,0
78,0,1,10,3,2
79,0,2,2,9,3
80,0,1,0,12,3
81,0,3,3,9,1
82,0,1,4,10,1
83,0,1,1,14,0
84,0,1,3,12,0
85,0,1,3,10,2
86,0,2,3,8,3
87,0,3,3,6,4
88,0,1,5,8,2
89,0,1,5,8,2
90,0,2,5,7,2
91,0,1,8,6,1
92,0,1,7,6,2
93,0,1,5,9,1
94,0,1,8,5,2
95,0,2,8,4,2
96,0,2,1,12,1
97,0,3,1,7,5
98,0,7,3,5,1
99,0,4,4,1,7
100,0,1,2,3,10
101,0,2,2,2,10
102,0,4,2,4,6
103,0,6,0,6,4
