index,timestamp,global_frame_number,message,cam_wind_direction
1,2025-06-13T17:19:15.111151,0,N,S
2,2025-06-13T17:19:19.986373,169460,S,N
3,2025-06-13T17:19:25.820376,169603,S,E
4,2025-06-13T17:19:30.193091,169776,E,E
5,2025-06-13T17:19:35.024683,169918,E,W
6,2025-06-13T17:19:40.048327,170098,W,W
7,2025-06-13T17:19:45.035405,170223,N,N
8,2025-06-13T17:19:50.656695,170395,E,W
9,2025-06-13T17:19:54.991905,170535,E,N
10,2025-06-13T17:19:59.956500,170702,S,W
11,2025-06-13T17:20:05.293096,170840,S,W
12,2025-06-13T17:20:10.457387,170991,S,S
13,2025-06-13T17:20:14.970858,171126,W,W
14,2025-06-13T17:20:20.046739,171287,N,N
15,2025-06-13T17:20:24.950074,171440,S,W
16,2025-06-13T17:20:30.012481,171601,S,W
17,2025-06-13T17:20:35.237233,171731,N,N
18,2025-06-13T17:20:40.003614,171903,W,W
19,2025-06-13T17:20:45.342498,172033,W,W
20,2025-06-13T17:20:50.052920,172190,W,W
21,2025-06-13T17:20:54.942651,172321,N,N
22,2025-06-13T17:20:59.964117,172485,W,W
23,2025-06-13T17:21:05.298550,172639,W,W
24,2025-06-13T17:21:09.977491,172792,W,W
25,2025-06-13T17:21:14.922066,172947,W,W
26,2025-06-13T17:21:20.306537,173098,W,W
27,2025-06-13T17:21:24.956522,173251,N,N
28,2025-06-13T17:21:29.974456,173403,W,W
29,2025-06-13T17:21:34.954928,173525,W,W
30,2025-06-13T17:21:39.900819,173679,S,S
31,2025-06-13T17:21:45.022062,173831,N,S
32,2025-06-13T17:21:49.903806,173983,W,W
33,2025-06-13T17:21:55.026330,174135,W,W
34,2025-06-13T17:21:59.989900,174289,W,W
35,2025-06-13T17:22:05.055637,174443,E,E
36,2025-06-13T17:22:09.988723,174596,W,W
37,2025-06-13T17:22:14.892851,174750,W,N
38,2025-06-13T17:22:19.931300,174902,N,N
39,2025-06-13T17:22:25.017558,175055,W,W
40,2025-06-13T17:22:29.927009,175177,N,N
41,2025-06-13T17:22:34.994803,175330,N,N
42,2025-06-13T17:22:39.948456,175483,W,W
43,2025-06-13T17:22:45.039593,175635,W,W
44,2025-06-13T17:22:50.097065,175788,N,N
45,2025-06-13T17:22:55.038308,175940,N,W
46,2025-06-13T17:22:59.972418,176091,W,W
47,2025-06-13T17:23:05.035366,176245,S,S
48,2025-06-13T17:23:09.954261,176398,N,N
49,2025-06-13T17:23:14.991803,176552,N,N
50,2025-06-13T17:23:19.972870,176676,W,W
51,2025-06-13T17:23:24.971692,176828,W,W
52,2025-06-13T17:23:30.020252,176981,W,N
53,2025-06-13T17:23:34.912561,177134,W,W
54,2025-06-13T17:23:39.947784,177288,W,W
55,2025-06-13T17:23:45.096109,177441,W,W
56,2025-06-13T17:23:49.921247,177594,N,N
57,2025-06-13T17:23:55.140273,177746,N,N
58,2025-06-13T17:23:59.945469,177898,N,N
59,2025-06-13T17:24:04.947481,178050,W,N
60,2025-06-13T17:24:09.966458,178203,E,E
61,2025-06-13T17:24:15.031063,178325,W,W
62,2025-06-13T17:24:19.924005,178477,N,N
63,2025-06-13T17:24:25.019888,178629,N,N
64,2025-06-13T17:24:29.953656,178783,W,W
65,2025-06-13T17:24:34.953085,178935,N,N
66,2025-06-13T17:24:39.955241,179088,W,W
67,2025-06-13T17:24:44.992827,179241,W,N
68,2025-06-13T17:24:50.059126,179394,W,W
69,2025-06-13T17:24:55.068033,179546,W,W
70,2025-06-13T17:25:00.017380,179698,W,W
71,2025-06-13T17:25:05.091917,179850,W,N
72,2025-06-13T17:25:09.943763,180003,S,S
73,2025-06-13T17:25:14.960723,180155,W,W
74,2025-06-13T17:25:19.896960,180277,W,W
75,2025-06-13T17:25:24.937436,180430,N,N
76,2025-06-13T17:25:29.876387,180581,W,W
77,2025-06-13T17:25:34.910913,180734,W,N
78,2025-06-13T17:25:39.985479,180885,N,N
79,2025-06-13T17:25:44.965108,181040,W,W
80,2025-06-13T17:25:49.958946,181194,W,W
81,2025-06-13T17:25:55.055215,181347,W,W
82,2025-06-13T17:25:59.905240,181501,W,W
83,2025-06-13T17:26:05.064917,181654,W,W
84,2025-06-13T17:26:10.074629,181776,E,E
85,2025-06-13T17:26:15.050021,181928,E,E
86,2025-06-13T17:26:19.938875,182081,N,N
87,2025-06-13T17:26:24.966511,182233,W,W
88,2025-06-13T17:26:29.928375,182387,W,W
89,2025-06-13T17:26:34.914076,182541,W,W
90,2025-06-13T17:26:39.968075,182694,W,W
91,2025-06-13T17:26:44.980928,182847,S,S
92,2025-06-13T17:26:49.952745,182999,N,N
93,2025-06-13T17:26:55.034311,183151,E,E
94,2025-06-13T17:26:59.955441,183303,W,W
95,2025-06-13T17:27:04.994509,183426,S,S
96,2025-06-13T17:27:09.956411,183578,W,W
97,2025-06-13T17:27:14.973190,183729,W,W
98,2025-06-13T17:27:19.969860,183882,W,W
99,2025-06-13T17:27:25.034274,184034,W,W
100,2025-06-13T17:27:30.099523,184187,S,S
101,2025-06-13T17:27:35.072098,184340,W,W
102,2025-06-13T17:27:40.007617,184491,W,W
103,2025-06-13T17:27:45.013676,184643,W,W
104,2025-06-13T17:27:50.020863,184796,W,W
105,2025-06-13T17:27:55.091331,184948,N,N
106,2025-06-13T17:28:00.016372,185102,W,W
107,2025-06-13T17:28:04.942440,185225,W,W
108,2025-06-13T17:28:09.952890,185378,W,W
109,2025-06-13T17:28:14.967293,185531,W,W
110,2025-06-13T17:28:20.115330,185684,W,W
111,2025-06-13T17:28:24.977888,185838,W,W
112,2025-06-13T17:28:29.961653,185991,W,W
113,2025-06-13T17:28:35.001143,186145,W,W
114,2025-06-13T17:28:39.954847,186297,W,S
115,2025-06-13T17:28:44.987099,186449,N,N
116,2025-06-13T17:28:49.955910,186601,W,W
