counter,N,W,S,E
4,14,58,2,1
5,18,48,2,7
6,22,22,16,6
7,30,31,12,8
8,30,25,11,7
9,41,27,7,2
10,14,43,9,11
11,34,20,7,12
12,27,36,5,13
13,31,29,7,5
14,20,35,13,11
15,22,36,5,11
16,21,48,5,4
17,23,35,6,9
18,38,27,4,8
19,30,27,3,17
20,31,23,6,13
21,17,60,5,0
22,10,49,11,4
23,9,57,5,4
24,13,10,16,36
25,6,6,34,27
26,14,7,25,33
27,9,9,17,39
28,4,5,7,60
29,7,2,13,57
30,15,8,26,27
31,14,7,22,34
32,8,4,13,46
33,11,8,13,51
34,3,0,5,65
35,1,0,7,70
36,5,4,12,54
37,13,0,24,37
38,5,6,15,50
39,6,5,19,44
40,7,8,21,46
41,3,2,21,46
42,11,4,21,41
43,14,6,22,34
44,4,7,19,43
45,5,16,22,37
46,13,7,22,32
47,1,0,6,18
3,9,43,1,3
0,27,9,9,2
1,24,17,1,2
2,16,21,1,7
