counter,X,N,W,S,E
1,18,1,0,0,0
2,12,3,3,1,0
3,11,5,0,3,0
4,11,4,1,3,0
5,10,7,2,0,0
6,10,7,2,0,0
7,10,4,2,2,1
8,10,6,3,0,0
9,10,7,1,1,0
10,10,6,2,0,1
11,8,6,4,0,1
12,8,2,7,1,1
13,6,5,7,0,1
14,6,3,8,0,2
15,6,3,8,0,2
16,6,3,7,1,2
17,4,3,10,0,2
18,4,4,11,0,0
19,3,2,12,1,1
20,3,2,13,0,1
21,3,3,12,0,1
22,1,2,13,1,2
23,1,3,14,1,0
24,1,4,13,0,1
25,1,4,13,1,0
26,1,7,11,0,0
27,1,7,10,1,0
28,1,3,11,1,3
29,1,7,10,0,1
30,0,4,13,0,2
31,0,4,13,1,1
32,0,4,15,0,0
33,0,7,6,3,3
34,0,8,8,2,1
35,0,7,3,8,1
36,0,7,5,6,1
37,0,4,3,6,6
38,0,5,6,4,4
39,0,4,12,2,1
40,0,9,7,2,1
41,0,12,6,1,0
42,0,13,1,1,4
43,0,12,4,2,1
44,0,7,4,6,2
45,0,7,8,2,2
46,0,4,11,1,3
47,0,6,12,0,1
48,0,10,9,0,0
49,0,12,5,2,0
50,0,8,7,2,2
51,0,10,4,4,1
52,0,6,8,2,3
53,0,4,10,2,3
54,0,3,13,1,2
55,0,3,11,2,3
56,0,4,10,3,2
57,0,5,10,1,3
58,0,8,5,2,4
59,0,9,4,3,3
60,0,9,4,2,4
61,0,9,7,1,2
62,0,9,8,1,1
63,0,7,9,1,2
64,0,5,11,2,1
65,0,7,5,1,6
66,0,4,11,1,3
67,0,7,9,0,3
68,0,9,7,1,2
69,0,7,9,3,0
70,0,7,7,3,2
71,0,8,9,1,1
72,0,5,10,2,2
73,0,4,7,5,3
74,0,4,6,5,4
75,0,7,8,2,2
76,0,3,15,0,1
77,0,1,15,0,3
78,0,5,13,0,1
79,0,6,7,2,4
80,0,6,8,1,4
81,0,8,7,2,2
82,0,5,12,1,1
83,0,4,13,1,1
84,0,8,10,1,0
85,0,4,13,2,0
86,0,5,11,1,2
87,0,3,13,1,2
88,0,6,10,1,2
89,0,5,9,3,2
90,0,4,10,2,3
91,0,9,6,0,4
92,0,11,4,1,3
93,0,11,3,3,2
94,0,11,8,0,0
95,0,7,10,0,2
96,0,7,6,2,4
97,0,10,6,1,2
98,0,4,9,1,5
99,0,8,4,1,6
100,0,6,9,0,4
101,0,10,5,2,2
102,0,6,3,4,6
103,0,6,2,5,6
104,0,10,4,1,4
105,0,8,9,0,2
106,0,8,7,3,1
107,0,7,7,4,1
108,0,5,11,3,0
109,0,3,16,0,0
110,0,5,14,0,0
111,0,3,16,0,0
112,0,7,11,0,1
113,0,1,14,3,1
114,0,3,12,1,3
115,0,3,14,2,0
116,0,3,10,6,0
117,0,4,11,3,1
118,0,2,14,1,2
119,0,1,16,1,1
120,0,2,17,0,0
121,0,3,14,2,0
122,0,2,11,3,3
123,0,1,2,6,10
124,0,6,0,3,10
125,0,9,2,2,6
126,0,5,0,8,6
127,0,1,2,9,7
128,0,1,2,8,8
129,0,3,2,9,5
130,0,2,0,7,10
131,0,4,1,7,7
132,0,3,1,8,7
133,0,2,3,7,7
134,0,3,3,3,10
135,0,3,1,5,10
136,0,4,4,1,10
137,0,3,2,6,8
138,0,2,1,7,9
139,0,2,1,4,12
140,0,3,1,3,12
141,0,2,1,1,15
142,0,1,1,0,17
143,0,1,0,1,17
144,0,1,2,2,14
145,0,2,1,2,14
146,0,2,0,7,10
147,0,6,2,6,5
148,0,4,3,6,6
149,0,4,1,7,7
150,0,2,4,6,7
151,0,1,1,7,10
152,0,1,3,7,8
153,0,3,3,5,8
154,0,4,2,5,8
155,0,3,1,3,12
156,0,3,3,5,8
157,0,6,1,6,6
158,0,4,2,6,7
159,0,2,0,2,15
160,0,2,0,1,16
161,0,1,2,1,15
162,0,3,1,0,15
163,0,5,2,1,11
164,0,2,3,5,9
165,0,1,0,6,12
166,0,2,0,1,16
167,0,2,0,2,15
168,0,2,0,0,17
169,0,2,0,0,17
170,0,1,0,3,15
171,0,3,1,3,12
172,0,1,2,1,15
173,0,2,0,4,13
174,0,1,0,6,12
175,0,2,0,7,10
176,0,6,0,6,7
177,0,4,2,4,9
178,0,2,1,6,10
179,0,1,1,5,12
180,0,2,2,6,9
181,0,1,2,2,14
182,0,3,3,3,10
183,0,2,0,11,6
184,0,1,2,9,7
185,0,4,1,4,10
186,0,3,1,4,11
187,0,1,0,7,11
188,0,2,0,5,12
189,0,1,0,7,11
190,0,3,0,6,10
191,0,4,1,5,9
192,0,4,2,1,12
193,0,3,1,2,13
194,0,5,2,4,8
195,0,3,2,10,4
196,0,3,1,5,10
197,0,3,1,3,12
198,0,2,1,1,15
199,0,1,1,4,13
200,0,1,4,4,10
201,0,1,1,9,8
202,0,1,0,5,13
203,0,1,4,6,8
204,0,1,3,6,9
205,0,3,3,5,8
206,0,2,3,5,9
207,0,3,0,8,8
208,0,4,1,8,6
209,0,4,1,3,11
210,0,1,3,4,11
211,0,0,3,4,12
212,0,0,2,3,14
213,0,0,3,2,14
214,0,0,1,1,17
215,0,0,1,3,15
216,0,0,2,3,14
217,0,0,1,0,18
218,0,0,2,1,16
219,0,0,4,4,11
220,0,0,3,5,11
221,0,0,2,2,15
222,0,0,1,8,10
223,0,0,3,6,10
224,0,0,4,3,12
225,0,0,5,4,10
226,0,0,1,3,15
227,0,0,0,3,16
228,0,0,0,4,15
229,0,0,0,4,15
230,0,0,0,6,13
231,0,0,0,1,18
232,0,0,0,6,13
233,0,0,0,3,16
234,0,0,0,0,19
235,0,0,0,0,19
236,0,0,0,0,19
