counter,W,E,X,N,S
1,1,1,15,1,0
2,2,1,12,2,1
3,2,4,11,1,0
4,3,4,10,1,0
5,4,2,9,2,1
6,4,2,9,2,1
7,4,2,9,2,1
8,4,2,9,2,1
9,4,2,9,2,1
10,2,4,7,5,0
11,2,3,7,5,1
12,3,4,7,3,1
13,2,5,6,5,0
14,1,5,6,6,0
15,2,2,5,7,2
16,5,1,5,5,2
17,6,1,5,5,1
18,5,1,5,7,0
19,7,2,4,4,1
20,6,2,4,5,1
21,3,1,4,9,1
22,7,2,4,4,1
23,7,1,4,5,1
24,8,2,3,4,1
25,7,3,3,5,0
26,7,4,2,4,1
27,8,3,2,3,2
28,9,1,2,5,1
29,8,1,2,5,2
30,12,1,1,4,0
31,11,1,1,3,2
32,11,0,1,5,1
33,7,3,1,7,0
34,11,1,1,5,0
35,10,0,1,5,2
36,5,2,1,7,3
37,5,2,1,8,2
38,4,2,1,10,1
39,6,0,1,8,3
40,9,2,1,6,0
41,6,2,1,8,1
42,10,1,1,5,1
43,7,1,0,8,2
44,10,3,0,3,2
45,7,3,0,6,2
46,8,1,0,6,3
47,9,2,0,3,4
48,16,0,0,1,1
49,14,1,0,1,2
50,7,3,0,4,4
51,6,1,0,5,6
52,11,0,0,5,2
53,9,2,0,7,0
54,12,1,0,4,1
55,9,0,0,7,2
56,8,1,0,5,4
57,11,1,0,6,0
58,14,2,0,2,0
59,11,4,0,1,2
60,15,1,0,2,0
61,15,0,0,3,0
62,17,0,0,1,0
63,12,1,0,2,3
64,9,2,0,3,4
65,9,7,0,2,0
66,8,4,0,6,0
67,8,1,0,9,0
68,10,2,0,3,3
69,8,1,0,6,3
70,10,0,0,4,4
71,11,2,0,4,1
72,9,2,0,6,1
73,8,4,0,3,3
74,6,4,0,6,2
75,7,0,0,9,2
76,9,0,0,7,2
77,12,3,0,3,0
78,9,4,0,3,2
79,10,3,0,4,1
80,11,2,0,5,0
81,8,2,0,4,4
82,9,5,0,3,1
83,9,1,0,6,2
84,9,3,0,4,2
85,12,2,0,4,0
86,11,3,0,4,0
87,1,4,0,7,6
88,4,2,0,9,3
89,6,3,0,9,0
90,3,4,0,9,2
91,7,0,0,11,0
92,8,4,0,5,1
93,11,2,0,4,1
94,13,1,0,3,1
95,13,1,0,2,2
96,16,0,0,0,2
97,17,0,0,1,0
98,10,2,0,6,0
99,8,2,0,7,1
100,11,2,0,5,0
101,7,4,0,3,4
102,8,2,0,7,1
103,12,1,0,4,1
104,10,1,0,4,3
105,5,6,0,3,4
106,8,0,0,2,8
107,7,2,0,6,3
108,8,1,0,5,4
109,11,0,0,4,3
110,7,1,0,6,4
111,11,1,0,2,4
112,12,2,0,2,2
113,12,3,0,1,2
114,10,3,0,3,2
115,12,1,0,4,1
116,10,1,0,7,0
117,12,0,0,3,3
118,10,0,0,7,1
119,7,1,0,6,4
120,8,2,0,6,2
121,6,5,0,6,1
122,6,8,0,3,1
123,6,4,0,3,5
124,3,8,0,4,3
125,1,12,0,2,3
126,2,9,0,1,6
127,3,6,0,2,7
128,1,12,0,1,4
129,3,11,0,0,4
130,2,11,0,0,5
131,2,8,0,1,7
132,1,6,0,4,7
133,2,10,0,4,2
134,1,10,0,2,5
135,3,11,0,1,3
136,2,9,0,3,4
137,2,9,0,3,4
