counter,X,N,W,S,E
1,16.4,0.6,0.4,0.4,0.2
2,12.0,2.2,2.2,0.8,0.8
3,11.0,2.4,2.0,1.2,1.4
4,10.4,2.0,2.6,1.4,1.6
5,9.6,3.4,3.0,1.0,1.0
6,9.0,4.2,2.8,0.8,1.2
7,8.0,3.2,2.8,1.8,2.2
8,8.0,3.6,2.8,1.6,2.0
9,7.6,4.8,2.2,1.4,2.0
10,7.0,6.4,2.0,0.6,2.0
11,6.6,6.4,2.4,0.8,1.8
12,6.6,4.8,3.4,1.0,2.2
13,6.0,5.4,3.6,0.8,2.2
14,6.0,4.8,3.4,0.4,3.4
15,4.8,5.4,4.6,2.0,1.2
16,4.8,4.0,5.8,2.4,1.0
17,4.2,4.8,5.8,2.2,1.0
18,4.0,4.4,6.6,2.2,0.8
19,2.8,2.6,8.6,2.6,1.4
20,2.6,2.6,9.2,2.2,1.4
21,2.2,4.8,7.6,2.8,0.6
22,1.8,4.0,8.0,3.0,1.2
23,1.8,4.4,8.6,2.8,0.4
24,1.6,4.4,8.0,2.4,1.6
25,1.4,4.4,8.0,3.0,1.2
26,1.2,4.8,7.0,2.6,2.4
27,1.2,3.2,9.4,2.4,1.8
28,1.0,2.8,9.6,2.6,2.0
29,1.0,4.4,9.8,1.4,1.4
30,0.6,4.8,10.4,1.0,1.2
31,0.6,4.4,9.8,2.0,1.2
32,0.6,5.6,9.6,1.2,1.0
33,0.6,5.4,9.2,1.6,1.2
34,0.4,4.6,10.2,1.4,1.4
35,0.4,4.2,9.4,3.2,0.8
36,0.4,5.0,8.0,2.8,1.8
37,0.4,4.4,8.4,2.4,2.4
38,0.4,5.4,8.4,2.4,1.4
39,0.2,6.0,9.0,2.2,0.6
40,0.2,6.4,8.0,1.8,1.6
41,0.2,6.8,7.2,1.8,2.0
42,0.2,6.2,7.6,1.2,2.8
43,0.0,5.8,9.4,1.6,1.2
44,0.0,4.0,9.0,3.2,1.8
45,0.0,5.0,9.0,2.0,2.0
46,0.0,4.6,9.4,1.8,2.2
47,0.0,4.8,9.8,2.0,1.4
48,0.0,4.0,12.4,0.8,0.8
49,0.0,4.4,11.0,1.0,1.6
50,0.0,4.8,8.4,2.6,2.2
51,0.0,5.2,8.4,3.2,1.2
52,0.0,3.8,11.4,1.4,1.4
53,0.0,4.2,11.0,0.8,2.0
54,0.0,3.2,11.8,1.4,1.6
55,0.0,4.4,10.6,1.6,1.4
56,0.0,4.0,10.2,2.4,1.4
57,0.0,5.4,9.2,1.0,2.4
58,0.0,5.2,8.6,1.8,2.4
59,0.0,4.6,7.0,2.6,3.8
