index,timestamp,global_frame_number,message,cam_wind_direction
1,2025-06-13T15:51:13.448281,50959,N,N
2,2025-06-13T15:51:18.018350,51058,E,W
3,2025-06-13T15:51:23.431318,51170,N,W
4,2025-06-13T15:51:28.094216,51354,N,W
5,2025-06-13T15:51:33.420442,51547,W,W
6,2025-06-13T15:51:38.551820,51640,S,S
7,2025-06-13T15:51:43.020014,51830,S,S
8,2025-06-13T15:51:48.153773,51903,S,S
9,2025-06-13T15:51:53.097868,52121,S,S
10,2025-06-13T15:51:58.072781,52314,W,W
11,2025-06-13T15:52:03.404598,52405,N,N
