counter,N,E,S,W
1,7,12,9,14
2,12,4,11,19
3,22,11,24,23
4,21,10,19,30
5,17,14,13,36
6,15,17,13,28
7,24,11,20,33
8,34,17,12,16
9,15,10,16,36
10,27,17,10,25
11,19,14,24,26
12,25,16,12,31
13,16,2,6,48
14,15,9,10,50
15,12,7,18,44
16,28,5,6,38
17,20,15,6,37
18,17,9,10,49
19,31,14,6,31
20,19,13,9,34
21,16,8,5,53
22,15,17,11,38
23,24,1,21,31
24,5,17,24,32
25,20,19,14,32
26,16,32,17,15
27,4,57,8,7
28,13,29,14,27
29,7,27,20,27
30,20,30,21,11
31,18,21,22,13
32,14,37,21,13
33,19,41,11,8
34,18,26,17,15
35,8,17,43,13
36,8,18,39,17
37,19,16,26,22
38,19,15,23,16
39,14,33,25,13
40,12,21,31,16
41,12,36,18,12
42,11,22,27,18
43,6,44,20,14
44,15,30,18,18
45,17,31,8,17
46,10,53,11,12
47,3,20,14,6
0,10,3,4,3
