counter,X,E,N,W,S
1,20,0,0,0,0
2,18,1,1,0,0
3,17,1,1,1,0
4,17,2,0,1,0
5,15,0,2,3,0
6,14,1,1,2,2
7,14,2,0,2,2
8,10,2,4,2,2
9,10,1,3,6,0
10,9,3,1,5,2
11,8,2,3,4,3
12,8,2,5,4,1
13,7,3,5,4,1
14,6,3,3,7,1
15,5,4,4,5,2
16,3,3,5,5,4
17,2,4,5,9,0
18,1,4,5,9,1
19,0,4,3,7,6
20,0,3,6,3,8
21,0,1,4,9,6
22,0,4,3,10,3
23,0,2,4,7,7
24,0,6,3,4,7
25,0,5,3,5,7
26,0,4,6,6,4
27,0,3,1,10,6
28,0,4,5,6,5
29,0,6,5,3,6
30,0,8,4,5,3
31,0,1,7,10,2
32,0,3,4,12,1
33,0,2,5,10,3
34,0,3,9,3,5
35,0,5,7,6,2
36,0,4,5,3,8
37,0,5,5,8,2
38,0,6,6,5,3
39,0,5,5,7,3
40,0,4,4,7,5
41,0,3,6,7,4
42,0,1,11,5,3
43,0,6,6,5,3
44,0,7,5,7,1
45,0,6,6,4,4
46,0,4,9,5,2
47,0,2,5,8,5
48,0,4,6,9,1
49,0,4,3,11,2
50,0,5,2,9,4
51,0,4,3,10,3
52,0,7,3,7,3
53,0,7,4,8,1
54,0,6,8,3,3
55,0,4,6,9,1
56,0,6,7,6,1
57,0,8,3,6,3
58,0,5,3,9,3
59,0,6,3,8,3
60,0,2,5,10,3
61,0,5,5,6,4
62,0,3,5,7,5
63,0,1,5,8,6
64,0,3,6,8,3
65,0,5,5,6,4
66,0,6,6,4,4
67,0,9,4,4,3
68,0,4,6,6,4
69,0,2,4,12,2
70,0,1,5,8,6
71,0,1,7,8,4
72,0,3,4,9,4
73,0,2,6,8,4
74,0,3,7,8,2
75,0,6,6,4,4
76,0,4,4,10,2
77,0,3,6,7,4
78,0,1,4,9,6
79,0,1,5,8,6
80,0,5,5,4,6
81,0,1,6,9,4
82,0,3,8,6,3
83,0,2,11,4,3
84,0,2,5,7,6
85,0,2,10,5,3
86,0,5,3,8,4
87,0,5,2,10,3
88,0,3,3,12,2
89,0,4,8,5,3
90,0,3,5,9,3
91,0,2,4,8,6
92,0,2,5,10,3
93,0,3,4,9,4
94,0,2,6,9,3
95,0,2,4,11,3
96,0,3,4,12,1
97,0,4,8,5,3
98,0,3,8,7,2
99,0,5,4,10,1
100,0,5,6,7,2
101,0,4,7,8,1
102,0,7,6,4,3
103,0,3,6,7,4
104,0,3,6,9,2
105,0,3,7,7,3
106,0,3,4,10,3
107,0,1,7,11,1
108,0,2,7,7,4
109,0,5,6,6,3
110,0,2,7,5,6
111,0,4,5,8,3
112,0,4,4,8,4
113,0,3,4,10,3
114,0,3,8,5,4
115,0,5,2,6,7
116,0,3,4,8,5
117,0,1,8,9,2
118,0,1,7,11,1
119,0,6,4,6,4
120,0,7,4,4,5
121,0,10,1,4,5
122,0,11,2,3,4
123,0,4,2,5,9
124,0,4,7,5,4
125,0,10,4,4,2
126,0,9,3,3,5
127,0,5,5,6,4
128,0,4,3,5,8
129,0,7,6,2,5
130,0,8,4,3,5
131,0,9,4,2,5
132,0,5,6,4,5
133,0,7,4,5,4
134,0,8,3,5,4
135,0,8,6,3,3
136,0,7,7,1,5
137,0,10,3,5,2
138,0,6,1,5,8
139,0,4,6,4,6
140,0,8,4,4,4
141,0,8,5,3,4
142,0,6,3,9,2
143,0,8,4,3,5
144,0,11,2,4,3
145,0,10,2,3,5
146,0,6,2,3,9
147,0,8,2,4,6
148,0,3,3,7,7
149,0,9,3,4,4
150,0,10,5,0,5
151,0,8,6,2,4
152,0,8,6,3,3
153,0,6,1,7,6
154,0,6,5,2,7
155,0,5,9,2,4
156,0,4,7,4,5
157,0,7,3,2,8
158,0,7,4,2,7
159,0,2,4,5,9
