counter,X,N,W,S,E
1,20,0,0,0,0
2,18,1,1,0,0
3,17,1,1,1,0
4,17,1,2,0,0
5,15,4,0,1,0
6,14,3,1,1,1
7,13,2,2,2,1
8,10,3,1,2,4
9,10,2,4,1,3
10,9,2,6,2,1
11,8,2,4,3,3
12,8,6,3,2,1
13,7,7,2,2,2
14,6,2,9,2,1
15,5,2,8,4,1
16,2,5,4,9,0
17,2,6,8,1,3
18,0,6,8,4,2
19,0,3,6,7,4
20,0,6,3,8,3
21,0,7,6,5,2
22,0,3,10,6,1
23,0,5,9,4,2
24,0,5,6,4,5
25,0,4,7,8,1
26,0,6,8,4,2
27,0,3,11,4,2
28,0,4,13,1,2
29,0,3,11,4,2
30,0,3,5,3,9
31,0,7,8,3,2
32,0,4,10,3,3
33,0,4,12,2,2
34,0,7,6,3,4
35,0,3,7,2,8
36,0,3,5,9,3
37,0,6,7,2,5
38,0,9,5,6,0
39,0,4,9,6,1
40,0,2,8,4,6
41,0,6,9,3,2
42,0,7,5,4,4
43,0,7,4,5,4
44,0,4,5,3,8
45,0,10,3,3,4
46,0,14,4,1,1
47,0,8,7,3,2
48,0,5,7,4,4
49,0,3,10,5,2
50,0,2,10,4,4
51,0,5,10,4,1
52,0,3,7,5,5
53,0,3,7,3,7
54,0,8,4,3,5
55,0,7,8,1,4
56,0,12,6,1,1
57,0,4,4,5,7
58,0,3,8,5,4
59,0,3,8,4,5
60,0,6,6,7,1
61,0,8,4,7,1
62,0,7,6,5,2
63,0,5,7,5,3
64,0,4,10,2,4
65,0,6,7,3,4
66,0,8,7,1,4
67,0,7,5,1,7
68,0,10,8,1,1
69,0,4,14,2,0
70,0,2,16,1,1
71,0,5,10,3,2
72,0,6,9,4,1
73,0,2,13,4,1
74,0,3,13,1,3
75,0,3,13,1,3
76,0,3,12,4,1
77,0,2,14,2,2
78,0,3,6,7,4
79,0,4,9,7,0
80,0,6,13,0,1
81,0,7,12,0,1
82,0,3,13,3,1
83,0,11,7,1,1
84,0,10,5,3,2
85,0,4,9,2,5
86,0,2,10,2,6
87,0,6,9,1,4
88,0,7,11,1,1
89,0,5,10,3,2
90,0,5,8,5,2
91,0,7,9,1,3
92,0,5,11,1,3
93,0,5,11,1,3
94,0,2,12,2,4
95,0,6,9,0,5
96,0,7,6,2,5
97,0,8,8,1,3
98,0,9,6,1,4
99,0,8,7,2,3
100,0,6,7,2,5
101,0,4,8,4,4
102,0,6,6,5,3
103,0,5,9,2,4
104,0,6,12,1,1
105,0,4,15,1,0
106,0,3,17,0,0
107,0,3,16,1,0
108,0,5,10,3,2
109,0,7,7,4,2
110,0,6,8,3,3
111,0,3,9,2,6
112,0,2,10,2,6
113,0,6,8,3,3
114,0,6,5,6,3
115,0,4,7,7,2
116,0,4,7,8,1
117,0,4,8,8,0
118,0,6,11,3,0
119,0,5,13,2,0
120,0,3,14,1,2
121,0,2,8,6,4
122,0,1,5,6,8
123,0,4,4,10,2
124,0,5,9,4,2
125,0,7,6,2,5
126,0,5,8,2,5
127,0,4,6,4,6
128,0,5,3,6,6
129,0,4,3,4,9
130,0,2,3,5,10
131,0,5,5,3,7
132,0,3,6,5,6
133,0,2,5,1,12
134,0,1,2,2,15
135,0,1,0,1,18
136,0,2,1,1,16
137,0,1,1,4,14
138,0,4,4,3,9
139,0,2,4,2,12
140,0,3,2,5,10
141,0,3,9,4,4
142,0,3,11,3,3
143,0,3,8,2,7
144,0,1,7,2,10
145,0,1,7,5,7
146,0,2,5,5,8
147,0,2,9,7,2
148,0,3,6,3,8
149,0,7,0,4,9
150,0,5,3,6,6
151,0,6,3,5,6
152,0,1,6,6,7
153,0,4,4,8,4
154,0,6,4,4,6
155,0,5,3,6,6
156,0,5,4,6,5
157,0,6,3,6,5
158,0,4,8,6,2
159,0,4,4,6,6
