counter,W,N,E,S
0,43,17,14,16
1,34,17,13,11
2,47,15,10,8
3,22,26,20,7
4,28,18,11,17
5,27,20,16,11
6,36,11,22,9
7,25,29,15,7
8,25,14,21,15
9,17,17,12,33
10,22,29,11,14
11,37,10,10,17
12,23,26,9,15
13,34,23,12,12
14,36,21,12,5
15,42,20,4,8
16,32,16,19,12
17,35,27,8,6
18,21,15,11,28
19,32,18,13,13
20,32,23,13,10
21,32,25,9,8
22,33,11,23,8
23,35,18,18,6
24,5,11,44,16
25,14,18,26,19
26,20,11,28,15
27,10,30,23,16
28,15,17,35,8
29,13,12,34,16
30,12,9,36,19
31,24,16,27,10
32,18,12,29,16
33,9,17,22,26
34,13,11,43,13
35,17,16,33,8
36,11,10,27,27
37,11,15,33,18
38,7,16,38,17
39,12,13,36,14
40,12,4,47,8
41,7,11,47,10
42,9,17,40,4
43,6,19,28,19
44,6,32,20,14
45,5,15,43,11
46,12,6,42,10
47,1,0,1,0
