counter,X,S,N,W,E
1,11,3,4,1,0
2,8,3,4,4,0
3,4,2,7,5,1
4,0,2,6,6,5
5,0,5,5,6,3
6,0,5,5,8,1
7,0,5,3,9,2
8,0,2,4,7,6
9,0,3,6,6,4
10,0,5,6,7,1
11,0,4,4,10,1
12,0,3,2,12,2
13,0,7,2,4,6
14,0,1,6,9,3
15,0,1,8,9,1
16,0,3,7,7,2
17,0,1,4,10,4
18,0,3,10,2,4
19,0,3,7,8,1
20,0,2,10,4,3
21,0,1,5,9,4
22,0,9,4,5,1
23,0,5,6,7,1
24,0,2,3,11,3
25,0,2,6,5,6
26,0,4,4,7,4
27,0,3,5,4,7
28,0,3,9,5,2
29,0,1,6,9,3
30,0,2,3,9,5
31,0,3,6,6,4
32,0,2,3,6,8
33,0,5,3,6,5
34,0,2,5,10,2
35,0,2,4,9,4
36,0,4,3,5,7
37,0,4,2,9,4
38,0,1,6,6,6
39,0,1,7,6,5
40,0,1,4,12,2
41,0,3,6,7,3
42,0,1,7,5,6
43,0,3,6,5,5
44,0,1,6,8,4
45,0,7,4,2,6
46,0,5,4,5,5
47,0,5,9,4,1
48,0,7,2,8,2
49,0,5,5,6,3
50,0,2,4,6,7
51,0,7,5,4,3
52,0,3,5,8,3
53,0,4,3,8,4
54,0,4,5,7,3
55,0,3,5,6,5
56,0,4,4,9,2
57,0,6,6,5,2
58,0,4,3,9,3
59,0,4,3,7,5
60,0,5,3,8,3
61,0,6,3,7,3
62,0,2,4,12,1
63,0,4,2,11,2
64,0,4,7,5,3
65,0,2,9,7,1
66,0,5,7,6,1
67,0,2,7,6,4
68,0,1,8,7,3
69,0,5,2,7,5
70,0,3,6,9,1
71,0,4,3,10,2
72,0,2,3,13,1
73,0,5,3,8,3
74,0,1,7,6,5
75,0,2,7,6,4
76,0,1,7,6,5
77,0,2,5,9,3
78,0,2,5,7,5
79,0,3,5,10,1
80,0,3,8,6,2
81,0,5,6,6,2
82,0,4,3,7,5
83,0,2,8,4,5
84,0,4,6,6,3
85,0,3,3,11,2
86,0,6,6,4,3
87,0,5,4,8,2
88,0,3,5,8,3
89,0,4,7,4,4
90,0,2,8,5,4
91,0,3,6,5,5
92,0,6,2,10,1
93,0,5,5,5,4
94,0,6,7,2,4
95,0,2,6,7,4
96,0,1,5,10,3
97,0,1,10,5,3
98,0,1,6,9,3
99,0,6,4,5,4
100,0,5,4,6,4
101,0,2,6,7,4
102,0,1,8,9,1
103,0,1,8,9,1
104,0,1,7,10,1
105,0,5,4,7,3
106,0,2,7,6,4
107,0,2,4,6,7
108,0,1,5,9,4
109,0,1,8,6,4
110,0,5,2,7,5
111,0,2,7,6,4
112,0,1,4,10,4
113,0,2,3,11,3
114,0,5,1,6,7
115,0,5,6,4,4
116,0,3,7,6,3
117,0,3,5,8,3
118,0,5,5,6,3
119,0,3,6,6,4
120,0,5,2,5,7
121,0,8,3,1,7
122,0,5,4,0,10
123,0,3,3,6,7
124,0,4,3,7,5
125,0,6,5,3,5
126,0,6,5,2,6
127,0,7,4,2,6
128,0,5,3,6,5
129,0,3,5,3,8
130,0,2,5,2,10
131,0,6,4,1,8
132,0,7,1,3,8
133,0,3,5,4,7
134,0,4,4,3,8
135,0,7,4,5,3
136,0,8,6,3,2
137,0,4,3,8,4
138,0,6,6,2,5
139,0,5,3,4,7
140,0,3,5,2,9
141,0,4,6,4,5
142,0,3,7,7,2
143,0,1,6,4,8
144,0,3,4,3,9
145,0,4,4,1,10
146,0,2,6,4,7
147,0,3,4,7,5
148,0,7,3,1,8
149,0,2,4,2,11
150,0,6,2,4,7
151,0,6,2,5,6
152,0,5,1,4,9
153,0,4,3,4,8
154,0,4,7,3,5
155,0,3,5,4,7
156,0,3,6,6,4
157,0,3,4,6,6
158,0,2,4,7,6
159,0,4,5,1,9
160,0,8,2,2,7
161,0,4,5,3,7
162,0,7,4,2,6
163,0,2,2,2,13
164,0,4,6,1,8
165,0,9,5,1,4
166,0,4,5,4,6
167,0,6,6,3,4
168,0,4,9,2,4
169,0,6,3,2,8
170,0,5,6,4,4
171,0,5,5,3,6
172,0,7,4,2,6
173,0,6,1,4,8
174,0,6,4,1,8
175,0,5,5,5,4
176,0,5,6,1,7
177,0,3,7,1,8
178,0,3,7,2,7
179,0,2,6,7,4
180,0,3,2,6,8
181,0,6,2,5,6
182,0,6,3,3,7
183,0,7,2,3,7
184,0,7,5,3,4
185,0,4,4,5,6
186,0,6,1,4,8
187,0,4,5,1,9
188,0,5,4,6,4
189,0,8,4,2,5
190,0,3,5,2,9
191,0,4,4,4,7
192,0,6,4,3,6
193,0,3,6,4,6
194,0,6,7,1,5
195,0,5,6,1,7
196,0,4,4,1,10
197,0,5,4,2,8
198,0,4,5,5,5
199,0,5,3,4,7
200,0,2,4,8,5
201,0,3,5,4,7
202,0,3,2,6,8
203,0,6,0,8,5
204,0,6,2,1,10
205,0,7,2,0,10
206,0,11,2,2,4
207,0,4,5,1,9
208,0,5,6,3,5
209,0,5,4,3,7
210,0,5,8,1,5
211,0,5,2,8,4
212,0,3,3,2,11
213,0,7,4,4,4
214,0,4,3,6,6
215,0,4,5,4,6
216,0,6,4,2,7
217,0,5,1,5,8
218,0,7,3,3,6
219,0,6,3,2,8
220,0,7,6,3,3
221,0,5,3,6,5
222,0,9,3,4,3
223,0,8,4,2,5
224,0,6,3,4,6
225,0,8,7,0,4
226,0,3,6,3,7
227,0,5,2,3,9
228,0,5,4,3,7
229,0,5,5,2,7
230,0,7,7,1,4
231,0,7,3,2,7
232,0,5,2,6,6
233,0,5,5,0,9
234,0,5,6,2,6
235,0,7,3,4,5
236,0,7,6,1,5
237,0,0,5,11,3
