counter,X,N,W,E,S
1,11,3,1,2,2
2,8,4,3,3,1
3,4,5,4,5,1
4,0,4,8,4,3
5,0,1,10,4,4
6,0,3,13,1,2
7,0,2,13,1,3
8,0,2,10,5,2
9,0,6,4,5,4
10,0,5,7,2,5
11,0,4,11,1,3
12,0,1,12,3,3
13,0,1,9,4,5
14,0,5,10,4,0
15,0,4,13,1,1
16,0,5,13,1,0
17,0,4,11,2,2
18,0,8,4,4,3
19,0,7,6,4,2
20,0,8,3,7,1
21,0,3,10,5,1
22,0,5,4,1,9
23,0,7,6,2,4
24,0,4,10,3,2
25,0,6,6,2,5
26,0,1,8,4,6
27,0,3,3,7,6
28,0,8,3,3,5
29,0,4,10,2,3
30,0,4,9,5,1
31,0,6,7,5,1
32,0,2,3,12,2
33,0,2,7,9,1
34,0,3,11,2,3
35,0,4,11,3,1
36,0,2,7,6,4
37,0,2,7,4,6
38,0,4,5,5,5
39,0,7,7,4,1
40,0,9,8,2,0
41,0,10,5,3,1
42,0,5,7,6,1
43,0,5,8,5,1
44,0,4,9,5,1
45,0,1,3,7,8
46,0,4,5,4,6
47,0,6,6,0,7
48,0,3,7,2,7
49,0,6,3,3,7
50,0,4,4,4,7
51,0,3,1,3,12
52,0,5,7,2,5
53,0,5,7,2,5
54,0,9,4,3,3
55,0,9,4,4,2
56,0,7,7,2,3
57,0,7,4,1,7
58,0,2,10,2,5
59,0,2,10,4,3
60,0,1,10,3,5
61,0,4,8,1,6
62,0,9,7,1,2
63,0,6,8,1,4
64,0,6,5,4,4
65,0,5,8,4,2
66,0,8,5,0,6
67,0,7,7,4,1
68,0,7,7,4,1
69,0,3,8,3,5
70,0,7,9,2,1
71,0,3,10,2,4
72,0,4,11,2,2
73,0,3,14,0,2
74,0,7,7,5,0
75,0,5,9,3,2
76,0,6,7,5,1
77,0,6,8,2,3
78,0,3,12,3,1
79,0,4,14,0,1
80,0,7,9,1,2
81,0,7,9,0,3
82,0,5,5,6,3
83,0,7,4,7,1
84,0,6,6,2,5
85,0,4,10,3,2
86,0,4,9,2,4
87,0,3,8,2,6
88,0,4,11,2,2
89,0,7,9,2,1
90,0,9,8,2,0
91,0,11,5,2,1
92,0,5,7,3,4
93,0,2,7,1,9
94,0,5,2,3,9
95,0,5,2,3,9
96,0,3,10,3,3
97,0,4,10,4,1
98,0,7,8,2,2
99,0,4,7,4,4
100,0,3,6,4,6
101,0,5,5,6,3
102,0,6,8,3,2
103,0,10,3,5,1
104,0,9,7,2,1
105,0,6,7,1,5
106,0,5,7,2,5
107,0,5,6,6,2
108,0,6,7,5,1
109,0,9,9,1,0
110,0,4,10,3,2
111,0,3,8,4,4
112,0,4,9,6,0
113,0,2,11,6,0
114,0,2,8,8,1
115,0,4,6,6,3
116,0,7,8,2,2
117,0,6,9,2,2
118,0,6,8,4,1
119,0,3,8,6,2
120,0,1,5,7,6
121,0,2,2,12,3
122,0,2,1,11,5
123,0,2,4,10,3
124,0,4,1,10,4
125,0,5,1,9,4
126,0,2,4,7,6
127,0,3,6,2,8
128,0,4,5,5,5
129,0,5,4,7,3
130,0,4,1,9,5
131,0,3,2,11,3
132,0,3,3,10,3
133,0,1,4,10,4
134,0,2,7,6,4
135,0,5,6,2,6
136,0,4,5,3,7
137,0,9,0,3,7
138,0,7,3,5,4
139,0,6,2,10,1
140,0,7,2,9,1
141,0,4,6,7,2
142,0,6,5,6,2
143,0,5,5,8,1
144,0,3,2,11,3
145,0,4,1,10,4
146,0,4,6,6,3
147,0,2,1,10,6
148,0,4,2,11,2
149,0,4,4,5,6
150,0,2,5,4,8
151,0,2,2,9,6
152,0,2,3,9,5
153,0,3,4,7,5
154,0,2,4,9,4
155,0,7,4,4,4
156,0,6,8,5,0
157,0,5,5,9,0
158,0,4,3,8,4
159,0,2,7,7,3
160,0,1,7,6,5
161,0,5,5,5,4
162,0,1,4,12,2
163,0,3,3,10,3
164,0,5,4,2,8
