counter,N,W,E,S
2,13,23,21,1
3,12,41,10,10
4,25,34,7,9
5,24,23,15,8
6,29,23,10,21
7,7,36,15,18
8,10,33,17,11
9,16,38,11,15
10,19,35,11,12
11,9,54,4,8
12,11,40,10,8
13,24,35,12,14
14,27,23,15,10
15,12,42,7,11
16,20,30,17,11
17,15,32,10,21
18,20,31,10,16
19,10,34,14,11
20,22,29,12,19
21,13,32,22,8
22,15,39,6,13
23,13,44,9,10
24,17,18,24,21
25,19,14,27,18
26,7,12,33,16
27,25,14,29,14
28,12,19,34,10
29,13,30,16,16
30,11,15,26,19
31,7,28,29,20
32,18,13,17,27
33,9,28,29,4
34,17,13,27,24
35,10,11,37,18
36,22,17,20,16
37,17,19,16,20
38,17,21,27,19
39,17,14,29,15
40,18,15,16,19
41,31,17,27,7
42,10,12,44,10
43,21,9,25,22
44,10,14,25,19
45,20,15,43,9
46,17,8,36,11
47,2,0,2,1
0,17,23,16,8
1,9,20,5,4
