counter,X,E,W,N,S
1,13,2,2,1,1
2,10,2,5,1,1
3,9,2,2,4,2
4,6,4,3,3,3
5,6,3,3,4,3
6,6,2,6,4,1
7,6,6,2,4,1
8,6,6,3,3,1
9,6,3,3,4,3
10,6,3,4,3,3
11,6,3,5,2,3
12,5,1,10,1,2
13,3,5,2,6,3
14,2,2,8,4,3
15,1,5,7,4,2
16,1,3,6,7,2
17,1,3,4,8,3
18,0,11,2,4,2
19,0,3,10,4,2
20,0,1,9,5,4
21,0,2,9,4,4
22,0,2,3,7,7
23,0,3,5,8,3
24,0,2,10,5,2
25,0,1,9,6,3
26,0,3,8,7,1
27,0,2,4,11,2
28,0,1,6,8,4
29,0,5,6,4,4
30,0,3,6,9,1
31,0,2,7,9,1
32,0,4,4,5,6
33,0,5,2,8,4
34,0,6,6,5,2
35,0,5,5,4,5
36,0,2,9,3,5
37,0,2,6,4,7
38,0,4,8,4,3
39,0,3,8,4,4
40,0,2,8,6,3
41,0,3,5,5,6
42,0,4,5,5,5
43,0,2,8,4,5
44,0,3,7,4,5
45,0,8,7,2,2
46,0,7,8,3,1
47,0,2,8,6,3
48,0,2,8,6,3
49,0,1,8,7,3
50,0,2,6,6,5
51,0,3,5,7,4
52,0,2,6,6,5
53,0,4,7,6,2
54,0,1,9,8,1
55,0,4,7,5,3
56,0,4,9,4,2
57,0,2,7,4,6
58,0,4,8,4,3
59,0,4,6,5,4
60,0,4,6,5,4
61,0,3,9,1,6
62,0,5,5,3,6
63,0,4,5,5,5
64,0,6,4,4,5
65,0,3,9,5,2
66,0,3,10,5,1
67,0,4,9,4,2
68,0,7,6,4,2
69,0,9,3,4,3
70,0,4,6,5,4
71,0,3,8,5,3
72,0,3,9,5,2
73,0,2,10,6,1
74,0,5,8,5,1
75,0,2,10,4,3
76,0,3,9,2,5
77,0,4,7,4,4
78,0,5,8,2,4
79,0,2,6,6,5
80,0,3,6,6,4
81,0,4,9,5,1
82,0,4,8,3,4
83,0,3,8,4,4
84,0,3,9,5,2
85,0,3,8,4,4
86,0,1,8,4,6
87,0,2,12,3,2
88,0,3,5,5,6
89,0,1,7,4,7
90,0,4,7,4,4
91,0,3,6,5,5
92,0,1,10,4,4
93,0,2,6,7,4
94,0,4,2,5,8
95,0,2,8,4,5
96,0,7,8,1,3
97,0,2,7,7,3
98,0,3,10,3,3
99,0,2,7,4,6
100,0,2,4,7,6
101,0,3,6,7,3
102,0,3,6,6,4
103,0,7,6,2,4
104,0,5,6,5,3
105,0,3,9,4,3
106,0,3,6,5,5
107,0,4,6,5,4
108,0,6,9,3,1
109,0,5,6,3,5
110,0,2,5,9,3
111,0,2,7,6,4
112,0,7,4,5,3
113,0,5,5,6,3
114,0,1,11,6,1
115,0,2,8,9,0
116,0,3,6,5,5
117,0,5,4,5,5
118,0,7,5,4,3
119,0,7,2,5,5
120,0,7,4,5,3
121,0,4,5,4,6
122,0,6,5,4,4
123,0,5,3,7,4
124,0,5,5,5,4
125,0,2,9,4,4
126,0,3,6,2,8
127,0,7,3,3,6
128,0,9,2,2,6
129,0,10,2,1,6
130,0,5,4,6,4
131,0,10,2,3,4
132,0,11,1,3,4
133,0,8,0,7,4
134,0,5,2,5,7
135,0,3,6,5,5
136,0,5,6,4,4
137,0,10,6,2,1
138,0,8,6,2,3
139,0,2,9,6,2
140,0,8,7,1,3
141,0,10,4,1,4
142,0,7,5,3,4
143,0,6,5,3,5
144,0,5,7,2,5
145,0,4,7,4,4
146,0,1,3,5,10
147,0,7,5,4,3
148,0,6,10,2,1
149,0,7,4,4,4
150,0,8,2,5,4
151,0,10,3,1,5
152,0,8,4,1,6
153,0,6,7,2,4
154,0,9,3,2,5
155,0,10,4,2,3
156,0,8,6,2,3
157,0,6,4,3,6
158,0,5,1,3,10
159,0,6,1,5,7
160,0,6,1,6,6
161,0,7,2,3,7
162,0,5,5,3,6
163,0,3,11,3,2
164,0,4,8,4,3
165,0,6,8,1,4
166,0,7,5,4,3
167,0,5,6,3,5
168,0,4,5,3,7
169,0,7,4,3,5
170,0,5,5,4,5
171,0,4,3,7,5
172,0,6,3,3,7
173,0,7,5,3,4
174,0,10,2,3,4
175,0,13,3,1,2
176,0,8,7,1,3
177,0,3,8,2,6
178,0,5,2,7,5
179,0,5,3,7,4
180,0,5,3,8,3
181,0,6,5,6,2
182,0,7,6,4,2
183,0,5,9,1,4
184,0,9,5,0,5
185,0,3,5,4,7
186,0,4,4,7,4
187,0,3,4,6,6
188,0,8,4,5,2
189,0,5,5,4,5
190,0,3,4,3,9
191,0,4,7,3,5
192,0,4,2,7,6
193,0,3,2,4,10
194,0,5,2,3,9
195,0,9,4,3,3
196,0,5,3,5,6
197,0,4,4,7,4
198,0,7,3,7,2
199,0,4,3,8,4
200,0,7,4,5,3
201,0,7,2,4,6
202,0,6,2,6,5
203,0,4,5,7,3
204,0,3,4,8,4
205,0,5,5,5,4
206,0,4,9,3,3
207,0,7,3,5,4
208,0,4,3,6,6
209,0,5,3,2,9
210,0,7,5,1,6
211,0,8,5,4,2
212,0,8,5,3,3
213,0,5,6,3,5
214,0,6,5,4,4
215,0,7,2,1,9
216,0,10,1,1,7
217,0,6,3,7,3
218,0,5,2,6,6
219,0,2,4,6,7
220,0,5,5,3,6
221,0,8,3,3,5
222,0,11,4,2,2
223,0,8,4,4,3
224,0,9,2,5,3
225,0,10,2,5,2
226,0,9,7,1,2
227,0,5,4,7,3
228,0,4,6,6,3
229,0,7,5,2,5
230,0,9,2,4,4
231,0,5,3,7,4
232,0,4,4,8,3
233,0,5,4,7,3
234,0,0,13,2,4
235,0,0,8,4,7
236,0,0,12,5,2
237,0,0,12,5,2
