counter,X,E,N,S,W
1,13,3,2,1,0
2,10,4,2,1,2
3,9,3,5,1,1
4,6,4,5,1,3
5,6,3,4,1,5
6,6,2,3,1,7
7,6,2,5,1,5
8,6,2,4,1,6
9,6,2,5,2,4
10,6,2,4,2,5
11,6,1,4,2,6
12,3,2,3,1,10
13,3,3,6,1,6
14,2,5,2,0,10
15,1,9,5,0,4
16,1,5,7,2,4
17,0,2,6,2,9
18,0,5,4,1,9
19,0,3,2,0,14
20,0,1,5,4,9
21,0,1,4,3,11
22,0,1,9,4,5
23,0,2,10,1,6
24,0,3,6,2,8
25,0,2,4,2,11
26,0,3,7,3,6
27,0,7,4,3,5
28,0,5,5,2,7
29,0,3,8,1,7
30,0,3,10,2,4
31,0,1,7,8,3
32,0,2,11,4,2
33,0,2,6,4,7
34,0,4,4,5,6
35,0,3,3,6,7
36,0,1,3,9,6
37,0,4,2,3,10
38,0,3,0,7,9
39,0,4,1,2,12
40,0,5,4,6,4
41,0,6,4,3,6
42,0,3,2,3,11
43,0,4,4,3,8
44,0,7,2,2,8
45,0,3,3,3,10
46,0,2,4,2,11
47,0,3,5,2,9
48,0,2,4,2,11
49,0,2,2,6,9
50,0,3,6,4,6
51,0,3,2,4,10
52,0,5,3,2,9
53,0,3,4,4,8
54,0,4,4,4,7
55,0,2,3,3,11
56,0,1,4,2,12
57,0,1,0,4,14
58,0,5,1,2,11
59,0,4,2,1,12
60,0,2,2,4,11
61,0,2,5,1,11
62,0,3,1,4,11
63,0,5,2,2,10
64,0,4,5,2,8
65,0,3,9,2,5
66,0,1,5,5,8
67,0,1,4,3,11
68,0,3,3,2,11
69,0,1,6,2,10
70,0,6,7,1,5
71,0,4,10,3,2
72,0,2,5,4,8
73,0,2,3,2,12
74,0,3,2,4,10
75,0,2,6,2,9
76,0,3,8,1,7
77,0,5,5,3,6
78,0,2,7,2,8
79,0,4,4,3,8
80,0,6,4,2,7
81,0,2,1,4,12
82,0,4,3,1,11
83,0,3,4,6,6
84,0,3,4,8,4
85,0,1,5,8,5
86,0,2,10,3,4
87,0,3,6,5,5
88,0,4,3,4,8
89,0,4,3,6,6
90,0,4,5,5,5
91,0,5,2,3,9
92,0,7,4,4,4
93,0,2,4,2,11
94,0,5,2,3,9
95,0,2,6,9,2
96,0,1,7,4,7
97,0,2,2,5,10
98,0,1,6,3,9
99,0,3,3,3,10
100,0,2,2,0,15
101,0,3,3,4,9
102,0,4,5,3,7
103,0,5,5,2,7
104,0,8,2,1,8
105,0,4,3,4,8
106,0,1,6,2,10
107,0,2,1,4,12
108,0,2,6,5,6
109,0,2,7,5,5
110,0,2,3,1,13
111,0,1,3,1,14
112,0,1,3,2,13
113,0,3,1,6,9
114,0,7,3,1,8
115,0,9,2,3,5
116,0,8,6,4,1
117,0,4,5,6,4
118,0,5,3,5,6
119,0,7,2,5,5
120,0,6,6,4,3
121,0,4,6,4,5
122,0,2,6,5,6
123,0,7,5,7,0
124,0,8,4,6,1
125,0,12,1,6,0
126,0,9,3,4,3
127,0,9,3,5,2
128,0,13,0,4,2
129,0,13,3,3,0
130,0,8,4,7,0
131,0,2,8,6,3
132,0,5,6,2,6
133,0,10,5,0,4
134,0,10,3,2,4
135,0,6,4,2,7
136,0,7,3,3,6
137,0,9,2,3,5
138,0,13,1,2,3
139,0,10,2,2,5
140,0,4,2,6,7
141,0,4,5,4,6
142,0,2,6,5,6
143,0,2,3,0,14
144,0,4,1,0,14
145,0,6,3,5,5
146,0,9,4,4,2
147,0,8,1,7,3
148,0,5,1,8,5
149,0,4,2,6,7
150,0,10,0,4,5
151,0,8,1,3,7
152,0,8,1,3,7
153,0,5,3,4,7
154,0,3,2,7,7
155,0,4,5,9,1
156,0,8,3,6,2
157,0,6,5,6,2
158,0,3,4,5,7
