index,timestamp,global_frame_number,message,cam_wind_direction
1,2025-06-13T15:55:00.749187,74020,W,E
2,2025-06-13T15:55:05.305822,74111,W,E
3,2025-06-13T15:55:10.300571,74292,E,S
4,2025-06-13T15:55:15.252021,74384,E,S
5,2025-06-13T15:55:20.259409,74460,N,E
6,2025-06-13T15:55:25.346277,74707,E,N
7,2025-06-13T15:55:30.216730,74844,N,N
8,2025-06-13T15:55:35.293957,75021,E,S
9,2025-06-13T15:55:40.180616,75204,E,W
10,2025-06-13T15:55:45.170836,75385,W,W
11,2025-06-13T15:55:50.233721,75476,S,N
12,2025-06-13T15:55:55.199863,75658,W,W
13,2025-06-13T15:56:00.223040,75839,W,W
14,2025-06-13T15:56:05.228822,75930,W,W
15,2025-06-13T15:56:10.234941,76112,W,W
16,2025-06-13T15:56:15.187265,76202,S,S
17,2025-06-13T15:56:20.274038,76384,W,E
18,2025-06-13T15:56:25.185634,76564,E,E
19,2025-06-13T15:56:30.174206,76655,N,N
20,2025-06-13T15:56:35.218611,76835,N,N
21,2025-06-13T15:56:40.327133,77016,W,S
22,2025-06-13T15:56:45.302518,77106,N,N
23,2025-06-13T15:56:50.344834,77288,N,N
24,2025-06-13T15:56:55.348240,77469,E,E
25,2025-06-13T15:57:00.196645,77559,S,S
26,2025-06-13T15:57:05.363814,77740,W,W
27,2025-06-13T15:57:10.240142,77920,N,N
28,2025-06-13T15:57:15.246959,78010,N,N
29,2025-06-13T15:57:20.233639,78191,W,W
30,2025-06-13T15:57:25.236100,78371,S,W
31,2025-06-13T15:57:30.316110,78462,S,S
32,2025-06-13T15:57:35.178485,78643,S,S
33,2025-06-13T15:57:40.130577,78824,S,S
34,2025-06-13T15:57:45.204080,78915,W,W
35,2025-06-13T15:57:50.364342,79096,E,E
36,2025-06-13T15:57:55.185311,79277,N,N
37,2025-06-13T15:58:00.339726,79368,W,S
38,2025-06-13T15:58:05.302386,79550,W,E
39,2025-06-13T15:58:10.359733,79731,N,E
40,2025-06-13T15:58:15.188642,79822,N,N
41,2025-06-13T15:58:20.296232,80002,S,W
42,2025-06-13T15:58:25.229309,80183,S,S
43,2025-06-13T15:58:30.312493,80273,W,S
44,2025-06-13T15:58:35.192617,80455,N,N
45,2025-06-13T15:58:40.245507,80637,S,S
46,2025-06-13T15:58:45.359623,80728,N,N
47,2025-06-13T15:58:50.200155,80909,S,S
48,2025-06-13T15:58:55.227147,81000,E,E
49,2025-06-13T15:59:00.141490,81182,W,S
50,2025-06-13T15:59:05.246583,81364,W,W
51,2025-06-13T15:59:10.179134,81454,N,N
52,2025-06-13T15:59:15.186388,81634,N,N
53,2025-06-13T15:59:20.247187,81815,N,N
54,2025-06-13T15:59:25.132473,81905,W,W
55,2025-06-13T15:59:30.290655,82087,E,E
56,2025-06-13T15:59:35.327939,82268,N,N
57,2025-06-13T15:59:40.252074,82358,N,N
58,2025-06-13T15:59:45.179128,82540,W,W
59,2025-06-13T15:59:50.139235,82721,W,W
60,2025-06-13T15:59:55.255740,82811,S,S
61,2025-06-13T16:00:00.248551,82993,E,E
62,2025-06-13T16:00:05.229640,83175,N,N
63,2025-06-13T16:00:10.251004,83265,E,E
64,2025-06-13T16:00:15.223978,83446,N,N
65,2025-06-13T16:00:20.167551,83627,W,W
66,2025-06-13T16:00:25.240831,83717,E,N
67,2025-06-13T16:00:30.215313,83899,N,N
68,2025-06-13T16:00:35.142019,84080,E,E
69,2025-06-13T16:00:40.198284,84170,W,E
70,2025-06-13T16:00:45.278601,84352,N,N
71,2025-06-13T16:00:50.190911,84533,W,W
72,2025-06-13T16:00:55.209401,84624,N,N
73,2025-06-13T16:01:00.129037,84805,W,W
74,2025-06-13T16:01:05.157313,84987,S,S
75,2025-06-13T16:01:10.195851,85077,E,E
76,2025-06-13T16:01:15.203469,85258,N,N
77,2025-06-13T16:01:20.178911,85439,E,E
78,2025-06-13T16:01:25.131714,85530,S,S
79,2025-06-13T16:01:30.203018,85711,E,E
80,2025-06-13T16:01:35.236507,85802,S,S
81,2025-06-13T16:01:40.209417,85984,W,W
82,2025-06-13T16:01:45.208019,86165,S,S
83,2025-06-13T16:01:50.134679,86255,W,W
84,2025-06-13T16:01:55.181053,86439,E,E
85,2025-06-13T16:02:00.284526,86620,N,N
86,2025-06-13T16:02:05.204116,86710,S,S
87,2025-06-13T16:02:10.263094,86892,W,W
88,2025-06-13T16:02:15.256837,87074,N,N
89,2025-06-13T16:02:20.383050,87164,S,S
90,2025-06-13T16:02:25.166406,87346,S,S
91,2025-06-13T16:02:30.207205,87528,S,S
92,2025-06-13T16:02:35.297570,87619,S,S
93,2025-06-13T16:02:40.368140,87800,E,S
94,2025-06-13T16:02:45.272802,87980,S,S
95,2025-06-13T16:02:50.137532,88071,S,S
96,2025-06-13T16:02:55.168198,88254,S,N
97,2025-06-13T16:03:00.203184,88435,N,N
98,2025-06-13T16:03:05.282786,88526,E,E
99,2025-06-13T16:03:10.186428,88706,N,E
100,2025-06-13T16:03:15.127972,88887,N,N
101,2025-06-13T16:03:20.201714,88977,W,W
102,2025-06-13T16:03:25.140932,89158,E,S
