counter,E,W,S,N
9,15,31,16,12
10,10,24,6,25
11,18,27,11,24
12,12,37,15,19
13,10,25,13,21
14,16,25,12,20
15,19,23,18,24
16,12,26,16,24
17,12,19,13,23
18,18,32,8,20
19,14,40,10,19
20,13,28,15,20
21,7,29,11,15
22,11,49,7,21
23,9,36,8,22
24,24,19,15,12
25,40,15,8,12
26,41,11,15,17
27,42,7,17,9
28,20,21,14,11
29,37,7,21,17
30,26,14,15,25
31,40,4,15,11
32,40,16,10,9
33,36,5,22,22
34,30,17,18,9
35,31,12,13,11
36,31,10,28,10
37,32,9,25,17
38,21,12,29,7
39,46,6,17,6
40,33,14,22,13
41,28,10,17,13
42,27,9,13,13
43,32,11,15,9
44,27,10,23,16
45,24,5,18,13
46,28,8,15,10
47,6,1,9,8
0,13,7,2,6
1,14,14,4,11
2,9,25,10,13
3,6,22,9,21
4,4,29,13,19
5,10,26,12,23
6,12,35,9,8
7,5,35,5,22
8,10,23,21,21
