counter,X,S,W,E,N
1,18,1,0,0,0
2,18,0,1,0,0
3,17,1,1,0,0
4,16,1,1,1,0
5,14,2,0,2,1
6,11,1,2,2,3
7,11,1,3,3,1
8,11,1,2,3,2
9,10,2,2,1,4
10,9,1,3,3,3
11,8,1,5,2,3
12,7,0,6,2,4
13,5,1,3,3,7
14,4,5,3,2,5
15,4,4,7,1,3
16,4,1,8,1,5
17,3,2,9,1,4
18,3,3,7,4,2
19,3,1,7,3,5
20,3,3,6,1,6
21,3,1,8,1,6
22,3,2,10,0,4
23,3,2,8,2,4
24,2,4,6,1,6
25,2,3,9,0,5
26,2,3,8,0,6
27,2,4,6,2,5
28,2,4,5,5,3
29,2,2,3,5,7
30,2,3,7,2,5
31,2,5,7,1,4
32,2,5,5,3,4
33,2,4,6,4,3
34,2,2,7,6,2
35,2,2,9,4,2
36,2,1,10,3,3
37,2,2,6,5,4
38,2,5,4,3,5
39,1,5,5,2,6
40,1,0,7,2,9
41,0,1,10,3,5
42,0,3,6,4,6
43,0,7,8,2,2
44,0,4,6,2,7
45,0,5,6,3,5
46,0,3,6,4,6
47,0,3,6,3,7
48,0,2,11,1,5
49,0,3,9,1,6
50,0,3,11,2,3
51,0,8,3,6,2
52,0,2,6,4,7
53,0,2,5,3,9
54,0,1,6,2,10
55,0,3,5,5,6
56,0,3,6,5,5
57,0,1,8,4,6
58,0,3,9,6,1
59,0,2,9,5,3
60,0,4,5,5,5
61,0,3,3,6,7
62,0,6,5,0,8
63,0,3,7,4,5
64,0,3,7,4,5
65,0,3,8,4,4
66,0,3,11,3,2
67,0,2,8,2,7
68,0,3,7,4,5
69,0,3,4,4,8
70,0,3,6,5,5
71,0,5,9,2,3
72,0,2,12,1,4
73,0,3,7,2,7
74,0,4,2,6,7
75,0,4,6,5,4
76,0,5,6,4,4
77,0,2,5,6,6
78,0,5,4,3,7
79,0,4,2,5,8
80,0,5,5,5,4
81,0,3,6,4,6
82,0,3,5,4,7
83,0,3,6,2,8
84,0,4,6,5,4
85,0,6,5,5,3
86,0,1,9,4,5
87,0,3,4,4,8
88,0,5,3,3,8
89,0,2,6,6,5
90,0,4,9,4,2
91,0,6,6,0,7
92,0,4,5,5,5
93,0,5,4,9,1
94,0,4,6,7,2
95,0,1,8,2,8
96,0,3,6,4,6
97,0,4,4,7,4
98,0,4,6,4,5
99,0,1,6,5,7
100,0,1,8,5,5
101,0,2,12,1,4
102,0,2,6,4,7
103,0,3,8,4,4
104,0,3,6,4,6
105,0,5,7,3,4
106,0,4,7,3,5
107,0,6,5,3,5
108,0,1,12,2,4
109,0,1,13,0,5
110,0,1,9,4,5
111,0,3,10,2,4
112,0,3,8,2,6
113,0,1,10,2,6
114,0,3,6,7,3
115,0,1,6,9,3
116,0,1,10,4,4
117,0,2,9,2,6
118,0,2,10,2,5
119,0,2,5,5,7
120,0,4,3,9,3
121,0,4,3,8,4
122,0,5,5,5,4
123,0,3,3,7,6
124,0,1,5,8,5
125,0,5,4,8,2
126,0,5,2,10,2
127,0,4,6,7,2
128,0,1,5,8,5
129,0,5,4,6,4
130,0,8,2,6,3
131,0,3,0,10,6
132,0,1,4,10,4
133,0,3,6,7,3
134,0,1,2,10,6
135,0,5,3,8,3
136,0,3,5,9,2
137,0,7,3,7,2
138,0,4,1,10,4
139,0,5,1,8,5
140,0,5,4,7,3
141,0,5,4,7,3
142,0,3,6,4,6
143,0,3,6,6,4
144,0,2,5,9,3
145,0,7,2,7,3
146,0,6,5,4,4
147,0,5,6,3,5
148,0,6,1,8,4
149,0,6,0,10,3
150,0,7,0,9,3
151,0,4,3,6,6
152,0,2,4,6,7
153,0,5,5,4,5
154,0,5,5,6,3
155,0,5,3,7,4
156,0,4,1,9,5
157,0,6,2,7,4
158,0,3,2,10,4
159,0,5,3,8,3
160,0,7,3,7,2
161,0,4,4,9,2
162,0,4,4,9,2
163,0,3,3,11,2
164,0,5,4,7,3
165,0,5,0,9,5
166,0,3,1,11,4
167,0,5,0,7,7
168,0,8,1,7,3
169,0,8,4,4,3
170,0,4,5,8,2
171,0,3,5,9,2
172,0,6,4,6,3
173,0,4,4,7,4
174,0,5,4,8,2
175,0,3,3,11,2
176,0,3,5,8,3
177,0,7,3,4,5
178,0,6,5,4,4
179,0,4,4,8,3
180,0,7,5,6,1
181,0,7,4,6,2
182,0,9,2,7,1
183,0,8,2,8,1
184,0,4,6,6,3
185,0,5,3,10,1
186,0,5,1,10,3
187,0,4,2,7,6
188,0,6,2,5,6
189,0,5,1,6,7
190,0,7,1,7,4
191,0,8,3,5,3
192,0,7,5,3,4
193,0,7,4,5,3
194,0,7,3,8,1
195,0,6,1,11,1
196,0,7,2,8,2
197,0,4,1,12,2
198,0,4,2,10,3
199,0,6,3,7,3
200,0,5,3,4,7
201,0,4,4,5,6
202,0,5,3,9,2
203,0,8,4,4,3
204,0,5,3,7,4
205,0,5,1,7,6
206,0,4,2,6,7
207,0,6,2,5,6
208,0,5,2,5,7
209,0,5,1,9,4
210,0,7,1,6,5
211,0,4,3,8,4
212,0,4,2,8,5
213,0,4,2,9,4
214,0,5,1,7,6
215,0,4,3,5,7
216,0,2,5,7,5
217,0,3,4,6,6
218,0,5,3,7,4
219,0,8,3,5,3
220,0,3,2,7,7
221,0,3,2,7,7
222,0,5,3,8,3
223,0,5,2,6,6
224,0,5,3,6,5
225,0,6,4,3,6
226,0,3,0,9,7
227,0,4,0,9,6
228,0,4,0,9,6
229,0,1,4,9,5
230,0,6,3,7,3
231,0,7,1,6,5
232,0,4,4,7,4
233,0,3,2,8,6
234,0,6,2,4,7
235,0,6,0,5,8
236,0,0,8,6,5
237,0,0,8,5,6
238,0,0,4,8,7
