counter,X,S,W,E,N
1,18,1,0,0,0
2,18,0,1,0,0
3,17,0,0,2,0
4,16,0,1,2,0
5,14,0,2,2,1
6,11,0,1,3,4
7,11,0,0,3,5
8,11,1,3,2,2
9,10,1,2,2,4
10,9,0,2,7,1
11,8,1,4,3,3
12,7,0,5,4,3
13,5,2,3,4,5
14,4,2,5,3,5
15,4,2,9,0,4
16,4,2,8,2,3
17,3,2,9,2,3
18,3,4,6,4,2
19,3,1,8,2,5
20,3,2,4,1,9
21,3,2,5,1,8
22,3,1,9,0,6
23,3,5,6,2,3
24,2,5,5,1,6
25,2,3,9,0,5
26,2,1,12,1,3
27,2,3,7,3,4
28,2,2,6,5,4
29,2,2,4,3,8
30,2,3,8,1,5
31,2,4,7,1,5
32,2,6,3,5,3
33,2,4,7,4,2
34,2,2,8,5,2
35,2,1,13,1,2
36,2,2,11,2,2
37,2,2,6,4,5
38,2,3,8,0,6
39,1,2,10,0,6
40,1,0,11,1,6
41,0,4,8,3,4
42,0,6,5,3,5
43,0,8,7,1,3
44,0,6,4,1,8
45,0,4,9,3,3
46,0,3,6,4,6
47,0,3,8,2,6
48,0,4,9,2,4
49,0,4,10,0,5
50,0,3,8,7,1
51,0,6,4,6,3
52,0,2,6,4,7
53,0,2,9,3,5
54,0,1,7,2,9
55,0,3,3,4,9
56,0,1,10,4,4
57,0,4,7,6,2
58,0,2,6,3,8
59,0,4,5,5,5
60,0,5,5,4,5
61,0,8,9,1,1
62,0,3,8,5,3
63,0,3,6,1,9
64,0,3,8,4,4
65,0,2,12,3,2
66,0,1,11,2,5
67,0,3,6,6,4
68,0,3,5,2,9
69,0,4,8,2,5
70,0,3,11,1,4
71,0,2,12,1,4
72,0,2,9,1,7
73,0,3,2,9,5
74,0,3,6,5,5
75,0,5,6,2,6
76,0,2,6,5,6
77,0,5,4,3,7
78,0,4,3,6,6
79,0,7,5,3,4
80,0,2,9,6,2
81,0,3,4,2,10
82,0,3,6,2,8
83,0,6,6,3,4
84,0,7,5,2,5
85,0,2,3,3,11
86,0,4,3,3,9
87,0,3,5,6,5
88,0,4,8,3,4
89,0,4,8,2,5
90,0,4,6,5,4
91,0,3,7,7,2
92,0,2,12,2,3
93,0,3,9,5,2
94,0,4,8,4,3
95,0,6,7,4,2
96,0,1,11,1,6
97,0,2,11,3,3
98,0,6,4,1,8
99,0,8,4,1,6
100,0,6,7,3,3
101,0,8,5,2,4
102,0,4,6,5,4
103,0,1,13,1,4
104,0,2,6,5,6
105,0,2,7,4,6
106,0,3,9,2,5
107,0,1,15,0,3
108,0,2,12,1,4
109,0,1,11,4,3
110,0,1,11,3,4
111,0,1,10,2,6
112,0,1,11,2,5
113,0,2,9,2,6
114,0,3,5,4,7
115,0,4,2,9,4
116,0,4,5,5,5
117,0,4,6,6,3
118,0,1,5,9,4
119,0,1,5,11,2
120,0,4,2,10,3
121,0,2,4,10,3
122,0,1,6,8,4
123,0,1,5,10,3
124,0,8,3,6,2
125,0,6,1,7,5
126,0,2,1,10,6
127,0,3,5,8,3
128,0,1,2,11,5
129,0,3,2,10,4
130,0,2,4,11,2
131,0,3,3,11,2
132,0,5,2,11,1
133,0,5,1,9,4
134,0,6,2,11,0
135,0,4,4,11,0
136,0,3,8,2,6
137,0,4,6,1,8
138,0,3,5,7,4
139,0,6,1,9,3
140,0,7,5,4,3
141,0,5,6,4,4
142,0,4,1,11,3
143,0,3,0,13,3
144,0,6,0,11,2
145,0,4,3,7,5
146,0,1,4,7,7
147,0,2,4,6,7
148,0,5,5,4,5
149,0,5,4,7,3
150,0,5,2,8,4
151,0,2,1,12,4
152,0,2,3,11,3
153,0,1,2,13,3
154,0,3,3,10,3
155,0,2,3,12,2
156,0,2,5,11,1
157,0,2,6,9,2
158,0,2,4,12,1
159,0,5,4,7,3
160,0,5,0,9,5
161,0,3,1,11,4
162,0,5,0,8,6
163,0,9,1,6,3
164,0,9,3,3,4
165,0,6,4,7,2
166,0,4,6,7,2
167,0,4,5,7,3
168,0,4,4,8,3
169,0,5,5,8,1
170,0,2,2,13,2
171,0,3,5,8,3
172,0,5,2,8,4
173,0,6,4,5,4
174,0,3,4,8,4
175,0,7,5,6,1
176,0,6,1,8,4
177,0,11,1,6,1
178,0,5,1,12,1
179,0,5,7,5,2
180,0,6,2,10,1
181,0,5,0,9,5
182,0,6,1,8,4
183,0,7,2,5,5
184,0,4,1,6,8
185,0,6,2,9,2
186,0,9,2,6,2
187,0,9,6,2,2
188,0,8,2,8,1
189,0,8,3,7,1
190,0,5,1,12,1
191,0,6,1,11,1
192,0,2,2,14,1
193,0,2,1,13,3
194,0,4,1,14,0
195,0,6,0,7,6
196,0,3,8,6,2
197,0,5,3,8,3
198,0,8,3,5,3
199,0,2,3,10,4
200,0,5,1,8,5
201,0,4,1,8,6
202,0,4,5,6,4
203,0,4,2,7,6
204,0,6,2,6,5
205,0,5,1,7,6
206,0,2,3,7,7
207,0,3,3,8,5
208,0,3,2,12,2
209,0,3,2,9,5
210,0,4,3,9,3
211,0,1,4,9,5
212,0,4,3,6,6
213,0,6,2,7,4
214,0,6,2,5,6
215,0,4,2,6,7
216,0,4,2,7,6
217,0,6,2,8,3
218,0,5,2,6,6
219,0,6,3,5,5
220,0,6,3,1,9
221,0,4,0,9,6
222,0,6,1,7,5
223,0,3,0,11,5
224,0,2,3,7,7
225,0,7,1,6,5
226,0,5,1,8,5
227,0,2,4,9,4
228,0,4,1,6,8
229,0,6,3,3,7
230,0,0,13,1,5
231,0,0,9,5,5
232,0,0,8,2,9
233,0,0,10,5,4
234,0,0,11,3,5
235,0,0,13,0,6
236,0,0,7,5,7
