counter,E,N,W,S
4,16,13,37,7
5,16,12,32,15
6,7,19,26,13
7,12,21,33,2
8,8,30,31,10
9,8,15,37,8
10,5,14,36,15
11,15,18,30,15
12,11,18,36,9
13,5,32,22,8
14,8,14,31,16
15,7,18,49,4
16,3,8,55,5
17,5,13,41,8
18,11,14,35,16
19,13,19,32,13
20,6,5,49,6
21,12,10,42,3
22,14,26,27,13
23,7,24,31,11
24,22,9,15,21
25,29,9,15,17
26,39,12,11,18
27,30,8,5,25
28,23,10,19,14
29,37,7,13,23
30,28,20,5,21
31,35,12,9,11
32,31,16,4,20
33,24,23,12,17
34,27,17,9,16
35,40,12,3,13
36,21,19,22,15
37,17,15,16,27
38,27,15,16,9
39,22,13,20,16
40,33,13,17,14
41,19,9,8,32
42,22,10,9,22
43,34,10,10,18
44,29,8,10,25
45,35,4,11,11
46,24,11,16,16
47,4,3,3,4
0,7,10,13,7
1,6,10,15,7
2,4,8,23,4
3,8,15,22,5
