counter,X,W,S,N,E
1,17,1,0,0,0
2,15,1,1,1,0
3,10,3,3,1,1
4,10,3,3,1,1
5,8,6,1,0,3
6,7,8,1,0,2
7,7,4,3,2,2
8,7,4,2,3,2
9,7,3,2,3,3
10,7,5,2,3,1
11,7,5,2,4,0
12,7,6,1,2,2
13,7,6,1,2,2
14,7,3,2,4,2
15,7,2,2,4,3
16,6,6,1,5,0
17,4,5,2,5,2
18,3,4,3,6,2
19,1,9,4,2,2
20,1,8,1,4,4
21,0,9,2,4,3
22,0,7,4,5,2
23,0,8,4,0,6
24,0,9,3,2,4
25,0,8,2,5,3
26,0,6,6,4,2
27,0,6,4,4,4
28,0,4,6,4,4
29,0,8,4,4,2
30,0,7,3,5,3
31,0,10,4,1,3
32,0,3,7,6,2
33,0,6,2,8,2
34,0,9,2,5,2
35,0,8,2,5,3
36,0,7,3,3,5
37,0,4,3,7,4
38,0,6,1,7,4
39,0,10,1,4,3
40,0,7,3,7,1
41,0,4,3,8,3
42,0,4,4,8,2
43,0,10,2,5,1
44,0,10,3,5,0
45,0,10,2,4,2
46,0,7,3,4,4
47,0,8,5,3,2
48,0,9,3,1,5
49,0,7,2,6,3
50,0,6,3,7,2
51,0,7,2,6,3
52,0,6,2,8,2
53,0,6,4,4,4
54,0,7,3,4,4
55,0,7,4,4,3
56,0,6,7,4,1
57,0,6,5,5,2
58,0,9,3,5,1
59,0,5,6,5,2
60,0,4,2,5,7
61,0,6,2,8,2
62,0,5,3,7,3
63,0,9,3,3,3
64,0,10,0,4,4
65,0,6,4,4,4
66,0,6,4,5,3
67,0,8,2,4,4
68,0,6,4,5,3
69,0,2,7,7,2
70,0,5,2,9,2
71,0,6,3,7,2
72,0,11,3,4,0
73,0,8,5,2,3
74,0,4,7,4,3
75,0,6,5,6,1
76,0,7,2,7,2
77,0,10,1,4,3
78,0,9,2,4,3
79,0,6,3,4,5
80,0,8,1,8,1
81,0,7,3,6,2
82,0,9,3,5,1
83,0,5,5,5,3
84,0,8,6,3,1
85,0,9,3,4,2
86,0,11,2,2,3
87,0,9,1,4,4
88,0,5,2,7,4
89,0,8,5,3,2
90,0,7,5,3,3
91,0,10,3,1,4
92,0,5,6,5,2
93,0,4,3,6,5
94,0,9,2,4,3
95,0,7,5,2,4
