index,timestamp,global_frame_number,message,cam_wind_direction
1,2025-06-13T15:57:29.070747,393314,S,W
2,2025-06-13T15:57:34.073381,393503,E,W
3,2025-06-13T15:57:39.051350,393599,W,W
4,2025-06-13T15:57:44.061500,393791,W,W
5,2025-06-13T15:57:49.046125,393881,W,N
6,2025-06-13T15:57:54.016049,394077,W,E
7,2025-06-13T15:57:59.059875,394254,W,W
8,2025-06-13T15:58:04.158194,394353,W,W
9,2025-06-13T15:58:09.085589,394542,N,N
10,2025-06-13T15:58:14.089249,394634,N,N
11,2025-06-13T15:58:19.113989,394822,N,N
12,2025-06-13T15:58:24.099674,395005,S,S
13,2025-06-13T15:58:29.160589,395096,W,W
14,2025-06-13T15:58:34.082600,395277,E,S
15,2025-06-13T15:58:39.142892,395458,W,W
16,2025-06-13T15:58:44.129798,395550,W,W
17,2025-06-13T15:58:49.243478,395731,W,W
18,2025-06-13T15:58:54.113015,395912,E,E
19,2025-06-13T15:58:59.183728,396003,W,W
20,2025-06-13T15:59:04.167581,396185,W,W
21,2025-06-13T15:59:09.059121,396367,W,W
22,2025-06-13T15:59:14.052199,396458,W,W
23,2025-06-13T15:59:19.200144,396639,N,S
24,2025-06-13T15:59:24.104019,396820,W,W
25,2025-06-13T15:59:29.506747,396911,N,N
26,2025-06-13T15:59:34.101623,397091,W,W
27,2025-06-13T15:59:39.133681,397272,W,W
28,2025-06-13T15:59:44.133530,397362,W,S
29,2025-06-13T15:59:49.281599,397542,W,W
30,2025-06-13T15:59:54.177092,397633,W,W
31,2025-06-13T15:59:59.158117,397814,N,S
32,2025-06-13T16:00:04.340287,397994,W,W
33,2025-06-13T16:00:09.095501,398085,W,W
34,2025-06-13T16:00:14.107126,398267,E,E
35,2025-06-13T16:00:19.043384,398449,W,W
36,2025-06-13T16:00:24.127705,398540,W,W
37,2025-06-13T16:00:29.128488,398721,S,S
38,2025-06-13T16:00:34.031125,398903,W,W
39,2025-06-13T16:00:39.050805,398994,W,W
40,2025-06-13T16:00:44.031706,399175,W,W
41,2025-06-13T16:00:49.160473,399356,N,N
42,2025-06-13T16:00:54.165770,399447,W,W
43,2025-06-13T16:00:59.114538,399630,W,W
44,2025-06-13T16:01:04.052376,399811,W,W
45,2025-06-13T16:01:09.097255,399902,W,W
46,2025-06-13T16:01:14.075610,400083,N,N
47,2025-06-13T16:01:18.994412,400264,W,W
48,2025-06-13T16:01:24.185395,400354,S,S
49,2025-06-13T16:01:29.109685,400535,W,W
50,2025-06-13T16:01:34.087438,400717,W,W
51,2025-06-13T16:01:39.187307,400808,W,W
52,2025-06-13T16:01:44.015959,400989,W,W
53,2025-06-13T16:01:49.077152,401169,W,W
54,2025-06-13T16:01:54.103556,401260,N,N
55,2025-06-13T16:01:59.077910,401442,E,E
56,2025-06-13T16:02:04.139972,401533,N,N
57,2025-06-13T16:02:09.235988,401714,N,N
58,2025-06-13T16:02:14.066710,401895,W,W
59,2025-06-13T16:02:19.067377,401985,W,W
60,2025-06-13T16:02:24.146695,402166,W,E
61,2025-06-13T16:02:29.084401,402347,N,N
62,2025-06-13T16:02:34.080183,402437,E,E
63,2025-06-13T16:02:39.078409,402618,W,W
64,2025-06-13T16:02:44.191826,402799,N,N
65,2025-06-13T16:02:49.197510,402890,W,W
66,2025-06-13T16:02:54.175373,403072,W,W
67,2025-06-13T16:02:59.150907,403252,W,W
68,2025-06-13T16:03:04.127524,403342,E,E
69,2025-06-13T16:03:09.127074,403525,W,W
70,2025-06-13T16:03:14.064473,403707,N,N
71,2025-06-13T16:03:19.053692,403798,W,W
72,2025-06-13T16:03:24.146384,403981,W,W
73,2025-06-13T16:03:29.083609,404163,W,S
74,2025-06-13T16:03:34.090449,404253,E,E
75,2025-06-13T16:03:39.238939,404434,W,W
76,2025-06-13T16:03:44.066212,404616,W,N
77,2025-06-13T16:03:49.085745,404707,W,W
78,2025-06-13T16:03:54.106296,404888,E,W
79,2025-06-13T16:03:59.094074,405069,E,W
80,2025-06-13T16:04:04.150706,405159,S,N
81,2025-06-13T16:04:09.180639,405340,E,E
82,2025-06-13T16:04:14.113688,405521,W,W
83,2025-06-13T16:04:19.122956,405612,W,E
84,2025-06-13T16:04:24.140789,405793,W,W
85,2025-06-13T16:04:29.123490,405884,W,W
86,2025-06-13T16:04:34.567300,406066,N,N
87,2025-06-13T16:04:39.166769,406247,E,W
88,2025-06-13T16:04:44.098406,406337,E,S
89,2025-06-13T16:04:49.045365,406518,S,W
90,2025-06-13T16:04:54.060973,406699,W,W
91,2025-06-13T16:04:59.165928,406789,W,W
92,2025-06-13T16:05:04.164606,406971,N,N
93,2025-06-13T16:05:09.156067,407151,W,W
94,2025-06-13T16:05:14.061308,407241,N,N
95,2025-06-13T16:05:19.064328,407423,N,S
96,2025-06-13T16:05:24.164943,407604,W,W
97,2025-06-13T16:05:29.047595,407696,E,E
98,2025-06-13T16:05:34.179471,407877,W,W
99,2025-06-13T16:05:39.114570,408059,W,S
100,2025-06-13T16:05:44.148757,408149,W,S
101,2025-06-13T16:05:49.049153,408330,W,W
102,2025-06-13T16:05:54.045311,408511,W,W
103,2025-06-13T16:05:59.089759,408602,S,S
104,2025-06-13T16:06:04.051262,408783,W,S
105,2025-06-13T16:06:09.045024,408965,S,S
106,2025-06-13T16:06:14.063047,409055,W,E
107,2025-06-13T16:06:19.013184,409235,W,S
108,2025-06-13T16:06:24.264432,409416,W,S
109,2025-06-13T16:06:29.213496,409507,W,S
110,2025-06-13T16:06:34.560727,409688,N,N
111,2025-06-13T16:06:39.065899,409870,N,N
112,2025-06-13T16:06:44.110614,409961,E,S
113,2025-06-13T16:06:49.055403,410142,S,S
114,2025-06-13T16:06:54.140003,410233,W,S
*,*,*,*,*
115,2025-06-13T16:06:59.198310,410413,E,E
116,2025-06-13T16:07:04.036118,410595,W,W
117,2025-06-13T16:07:09.093132,410685,E,E
118,2025-06-13T16:07:14.094465,410867,E,E
119,2025-06-13T16:07:19.217293,411049,S,S
120,2025-06-13T16:07:24.249555,411139,N,N
121,2025-06-13T16:07:29.140137,411320,E,E
122,2025-06-13T16:07:34.000944,411501,E,E
123,2025-06-13T16:07:39.146581,411592,W,W
124,2025-06-13T16:07:44.053813,411773,E,E
125,2025-06-13T16:07:49.076265,411955,E,E
126,2025-06-13T16:07:54.065925,412045,S,E
127,2025-06-13T16:07:59.145392,412227,S,E
128,2025-06-13T16:08:04.234181,412408,E,E
129,2025-06-13T16:08:09.164937,412498,E,E
130,2025-06-13T16:08:14.066252,412680,N,N
131,2025-06-13T16:08:18.981843,412862,S,S
132,2025-06-13T16:08:24.293000,412953,S,S
133,2025-06-13T16:08:29.242236,413133,E,E
134,2025-06-13T16:08:34.109946,413314,S,W
135,2025-06-13T16:08:39.211796,413405,E,E
136,2025-06-13T16:08:44.322944,413587,E,E
137,2025-06-13T16:08:49.233560,413768,N,N
138,2025-06-13T16:08:54.118757,413858,S,S
139,2025-06-13T16:08:59.020264,414039,S,S
140,2025-06-13T16:09:04.034855,414219,S,S
141,2025-06-13T16:09:09.066651,414309,E,E
142,2025-06-13T16:09:14.032511,414490,S,S
143,2025-06-13T16:09:19.178435,414672,S,S
144,2025-06-13T16:09:24.156006,414763,E,E
145,2025-06-13T16:09:29.133033,414945,E,E
146,2025-06-13T16:09:34.040697,415035,N,N
147,2025-06-13T16:09:39.121019,415217,E,E
148,2025-06-13T16:09:44.002241,415398,S,S
149,2025-06-13T16:09:49.084298,415490,S,S
150,2025-06-13T16:09:54.078400,415671,E,E
151,2025-06-13T16:09:59.052991,415852,S,S
152,2025-06-13T16:10:04.215447,415942,E,E
153,2025-06-13T16:10:09.057237,416122,E,E
154,2025-06-13T16:10:14.039627,416303,E,E
155,2025-06-13T16:10:19.050592,416394,W,W
156,2025-06-13T16:10:24.409458,416576,W,W
157,2025-06-13T16:10:29.048719,416758,W,W
158,2025-06-13T16:10:34.059876,416849,S,S
159,2025-06-13T16:10:39.173191,417030,S,S
160,2025-06-13T16:10:44.114321,417211,E,E
161,2025-06-13T16:10:49.074722,417301,N,N
162,2025-06-13T16:10:54.153580,417483,S,S
163,2025-06-13T16:10:59.037475,417665,E,E
164,2025-06-13T16:11:04.076604,417755,E,E
165,2025-06-13T16:11:09.150341,417936,E,E
166,2025-06-13T16:11:14.088651,418117,E,E
167,2025-06-13T16:11:19.103392,418207,W,W
168,2025-06-13T16:11:24.136148,418388,E,E
169,2025-06-13T16:11:29.254627,418569,W,W
170,2025-06-13T16:11:34.262234,418660,E,E
171,2025-06-13T16:11:39.132526,418842,W,W
172,2025-06-13T16:11:44.142496,418933,E,E
173,2025-06-13T16:11:48.987131,419115,E,E
174,2025-06-13T16:11:54.071481,419297,E,E
175,2025-06-13T16:11:59.048121,419387,E,E
176,2025-06-13T16:12:04.165112,419569,N,N
177,2025-06-13T16:12:09.174589,419750,W,W
178,2025-06-13T16:12:14.291863,419840,W,W
179,2025-06-13T16:12:19.236709,420022,W,W
180,2025-06-13T16:12:24.045003,420203,E,S
181,2025-06-13T16:12:29.145116,420293,E,E
182,2025-06-13T16:12:33.994171,420474,W,W
183,2025-06-13T16:12:39.155041,420655,E,E
184,2025-06-13T16:12:44.006740,420745,E,E
185,2025-06-13T16:12:48.976412,420927,W,W
186,2025-06-13T16:12:54.146644,421109,W,W
187,2025-06-13T16:12:59.094649,421199,W,W
