index,timestamp,global_frame_number,message,cam_wind_direction
1,2025-06-13T16:32:39.173695,450989,S,S
2,2025-06-13T16:32:44.066375,451187,E,E
3,2025-06-13T16:32:49.312343,451287,W,W
4,2025-06-13T16:32:53.949323,451494,N,W
5,2025-06-13T16:32:58.913883,451586,N,W
6,2025-06-13T16:33:04.014287,451768,W,W
7,2025-06-13T16:33:09.018718,451960,N,W
8,2025-06-13T16:33:13.983635,452052,W,W
9,2025-06-13T16:33:19.023540,452247,W,W
10,2025-06-13T16:33:24.890006,452337,S,S
11,2025-06-13T16:33:28.962226,452507,W,W
12,2025-06-13T16:33:33.990701,452706,W,W
13,2025-06-13T16:33:38.975362,452797,W,W
14,2025-06-13T16:33:43.957164,452986,W,N
15,2025-06-13T16:33:48.967211,453079,W,W
16,2025-06-13T16:33:54.004223,453272,W,W
17,2025-06-13T16:33:58.997202,453462,W,W
18,2025-06-13T16:34:03.988396,453550,N,N
19,2025-06-13T16:34:09.344694,453733,S,S
20,2025-06-13T16:34:14.002807,453915,W,W
21,2025-06-13T16:34:18.989331,454006,W,W
22,2025-06-13T16:34:23.978684,454187,N,N
23,2025-06-13T16:34:28.897181,454368,W,W
24,2025-06-13T16:34:33.993588,454458,S,S
25,2025-06-13T16:34:39.067050,454639,S,S
26,2025-06-13T16:34:43.992023,454819,W,W
27,2025-06-13T16:34:48.968089,454909,N,N
28,2025-06-13T16:34:53.917160,455091,W,W
29,2025-06-13T16:34:58.981536,455272,W,W
30,2025-06-13T16:35:03.937433,455363,W,W
31,2025-06-13T16:35:08.979270,455543,W,N
32,2025-06-13T16:35:13.973947,455634,W,W
33,2025-06-13T16:35:18.906478,455816,N,N
34,2025-06-13T16:35:24.028237,455996,S,S
35,2025-06-13T16:35:28.997059,456087,N,N
36,2025-06-13T16:35:33.946893,456269,N,N
37,2025-06-13T16:35:39.112218,456450,W,W
38,2025-06-13T16:35:44.008187,456541,W,W
39,2025-06-13T16:35:48.974024,456723,N,N
40,2025-06-13T16:35:53.919135,456903,W,W
41,2025-06-13T16:35:58.968074,456994,W,W
42,2025-06-13T16:36:03.898874,457175,W,W
43,2025-06-13T16:36:08.991764,457356,W,N
44,2025-06-13T16:36:13.979262,457446,W,W
45,2025-06-13T16:36:18.990305,457628,W,W
46,2025-06-13T16:36:24.079660,457809,N,N
