counter,X,N,W,S,E
1,15.8,1.0,0.2,0.8,1.2
2,13.8,1.6,1.4,0.6,1.6
3,11.4,2.4,1.8,1.0,2.4
4,9.8,2.2,3.4,1.2,2.4
5,8.6,2.8,4.0,1.4,2.2
6,7.6,3.4,5.4,0.8,1.8
7,7.4,3.4,4.6,1.6,2.0
8,6.8,2.8,4.8,1.4,3.2
9,6.6,3.6,3.6,2.2,3.0
10,6.2,3.2,4.8,2.0,2.8
11,5.8,3.6,5.8,2.0,1.8
12,5.0,3.2,7.2,1.4,2.2
13,4.4,4.2,5.2,2.4,2.8
14,3.8,2.8,8.4,1.0,3.0
15,3.2,3.4,8.2,1.4,2.8
16,2.4,4.8,7.2,2.6,2.0
17,1.8,4.8,8.6,1.6,2.2
18,1.2,5.2,6.0,3.0,3.6
19,0.8,4.4,8.2,2.6,3.0
20,0.6,6.6,5.6,3.2,3.0
21,0.6,5.6,7.8,3.0,2.0
22,0.6,5.4,6.6,4.8,1.6
23,0.6,5.2,6.8,3.8,2.6
24,0.4,4.8,8.0,2.8,3.0
25,0.4,4.6,8.8,3.6,1.6
26,0.4,4.6,8.2,3.0,2.8
27,0.4,3.8,5.8,4.0,5.0
28,0.4,5.0,6.4,3.4,3.8
29,0.4,5.4,8.0,2.2,3.0
30,0.4,5.2,7.2,2.2,4.0
31,0.4,5.2,7.4,3.8,2.2
32,0.4,4.8,4.8,4.2,4.8
33,0.4,4.0,8.0,3.0,3.6
34,0.4,4.4,8.0,3.0,3.2
35,0.4,3.4,9.4,2.4,3.4
36,0.4,2.4,7.0,5.8,3.4
37,0.4,4.0,7.2,2.6,4.8
38,0.4,5.0,7.2,4.2,2.2
39,0.2,4.8,9.6,2.4,2.0
40,0.2,5.6,7.2,2.6,3.4
41,0.0,6.8,6.8,2.2,3.2
42,0.0,5.4,7.2,3.0,3.4
43,0.0,5.4,7.0,3.6,3.0
44,0.0,4.6,6.0,3.4,5.0
45,0.0,4.4,5.8,5.0,3.8
46,0.0,6.4,6.6,3.2,2.8
47,0.0,5.6,7.6,3.6,2.2
48,0.0,4.0,9.2,3.6,2.2
49,0.0,4.0,8.4,4.8,1.8
