counter,X,E,N,W,S
1,15.8,0.4,1.0,0.8,1.0
2,13.8,0.6,1.4,2.2,1.0
3,11.4,1.0,2.6,2.4,1.6
4,9.8,2.6,2.0,2.8,1.8
5,8.6,2.2,2.4,3.6,2.2
6,7.6,1.6,2.6,5.2,2.0
7,7.6,3.0,2.0,4.0,2.4
8,6.8,3.8,3.2,3.6,1.6
9,6.6,2.4,4.0,4.0,2.0
10,6.2,2.2,3.2,4.8,2.6
11,5.8,1.6,3.2,5.8,2.6
12,5.4,1.8,2.8,7.6,1.4
13,4.4,3.8,4.4,3.8,2.6
14,3.8,2.4,4.4,6.0,2.4
15,3.4,2.8,4.6,6.0,2.2
16,2.8,1.8,5.8,6.4,2.2
17,2.0,2.8,5.2,7.4,1.6
18,1.4,5.0,5.4,4.8,2.4
19,0.8,2.6,4.2,8.2,3.2
20,0.8,2.4,6.2,6.0,3.6
21,0.6,2.2,4.6,8.8,2.8
22,0.6,1.8,4.6,7.0,5.0
23,0.6,2.8,4.4,7.0,4.2
24,0.4,3.2,3.8,8.0,3.6
25,0.4,3.0,5.0,7.2,3.4
26,0.4,2.6,5.4,7.0,3.6
27,0.4,3.6,5.2,6.0,3.8
28,0.4,3.2,5.8,5.2,4.4
29,0.4,4.2,5.2,5.8,3.4
30,0.4,4.2,5.2,6.8,2.4
31,0.4,2.2,5.4,8.0,3.0
32,0.4,4.0,4.4,6.0,4.2
33,0.4,3.6,5.4,6.0,3.6
34,0.4,3.8,5.2,7.0,2.6
35,0.4,4.2,4.4,7.4,2.6
36,0.4,4.2,3.4,6.8,4.2
37,0.4,4.0,4.4,6.6,3.6
38,0.4,4.6,5.6,5.8,2.6
39,0.2,3.6,5.2,7.2,2.8
40,0.2,2.2,6.0,8.2,2.4
41,0.0,3.0,6.0,6.6,3.4
42,0.0,3.4,7.4,5.0,3.2
43,0.0,3.2,4.6,7.2,4.0
44,0.0,3.2,5.4,7.6,2.8
45,0.0,5.0,4.2,5.8,4.0
46,0.0,4.8,5.2,6.2,2.8
47,0.0,2.0,6.0,6.8,4.2
48,0.0,2.8,4.0,9.0,3.2
49,0.0,2.4,5.4,8.2,3.0
50,0.0,3.6,4.4,7.6,3.4
51,0.0,3.8,4.6,5.8,4.8
52,0.0,3.6,5.8,6.6,3.0
53,0.0,4.4,5.2,6.8,2.6
54,0.0,3.2,7.0,6.4,2.4
55,0.0,4.2,5.2,6.8,2.8
56,0.0,3.6,4.8,7.2,3.4
57,0.0,3.6,4.8,6.4,4.2
58,0.0,3.8,3.2,8.8,3.2
